cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
1,48.3,32.22,-25.98,0.5784,0.3746,0.6232,#935f9e,321.1,10
2,54.75,29.26,-25.49,0.629,0.4475,0.6879,#a072af,318.9,19
3,48.59,32.4,-4.52,0.6412,0.3678,0.4861,#a35d7b,352.1,11
4,45.34,57.18,-33.44,0.672,0.2417,0.6437,#ab3da4,329.7,9
5,39.29,0.29,-0.05,0.3646,0.3622,0.3631,#5c5c5c,350.4,71
6,35.1,1.46,-1.69,0.3283,0.3211,0.3342,#535155,310.9,225
7,38.94,0.45,-9.58,0.3297,0.3613,0.4199,#545c6b,272.7,60
8,40.96,2.08,-2.7,0.3846,0.3751,0.396,#625f64,307.6,117
9,43.57,0.89,-2.47,0.4021,0.4024,0.4196,#66666a,289.8,70
10,45.34,0.28,-7.46,0.3974,0.4221,0.469,#656b77,272.2,50
11,33.08,9.96,-8.94,0.342,0.2862,0.3607,#57485b,318.1,15
12,33.43,4.81,0.19,0.3392,0.2984,0.3076,#564c4e,2.2,41
13,39.19,13.47,0.15,0.4462,0.3316,0.3625,#71545c,0.7,10
14,44.63,8.12,-13.01,0.4267,0.4,0.4986,#6c657f,302.0,43
15,42.72,6.66,-2.44,0.4326,0.3818,0.4118,#6e6169,339.9,18
16,47.29,5.16,-2.68,0.4669,0.4293,0.4578,#776d74,332.5,41
17,33.21,4.3,-10.34,0.3013,0.3003,0.3699,#4c4c5e,292.6,57
18,38.92,7.9,-16.14,0.3578,0.3473,0.4618,#5b5875,296.1,35
19,36.3,4.96,-17.94,0.3029,0.33,0.447,#4d5471,285.4,51
20,27.25,8.23,-27.01,0.1929,0.2448,0.4146,#313e69,286.9,233
21,29.22,3.68,-17.27,0.2302,0.2678,0.3742,#3a445f,282.0,109
22,33.95,9.2,-28.77,0.2556,0.3035,0.4919,#414d7d,287.7,59
23,33.21,0.71,-21.92,0.2137,0.3115,0.4412,#364f70,271.8,21
24,38.26,1.87,-18.81,0.2919,0.3549,0.4716,#4a5a78,275.7,39
25,39.86,23.37,-32.22,0.4078,0.324,0.5753,#675292,306.0,21
26,40.36,18.83,-20.57,0.43,0.3358,0.5053,#6d5580,312.5,10
27,27.99,21.7,-24.87,0.3121,0.2168,0.4098,#4f3768,311.1,38
28,31.37,15.23,-14.51,0.341,0.26,0.3789,#564260,316.4,21
29,26.27,16.97,-17.51,0.2938,0.2113,0.3488,#4a3558,314.1,65
30,28.19,33.76,-57.63,0.1905,0.2034,0.6165,#30339d,300.4,13
31,23.88,38.49,-61.24,0.1425,0.1518,0.5941,#242697,302.2,56
32,18.94,50.76,-66.24,0.1595,0.0328,0.574,#280892,307.5,28
33,24.38,26.44,-43.23,0.2097,0.1823,0.4862,#352e7b,301.5,40
34,17.51,31.75,-42.47,0.1875,0.1038,0.4133,#2f1a69,306.8,14
35,20.94,11.87,-15.22,0.2222,0.1773,0.2854,#382d48,308.0,14
36,27.22,7.2,-19.4,0.2287,0.2436,0.3683,#3a3e5d,290.4,33
37,22.09,7.27,-20.09,0.1791,0.1992,0.3239,#2d3252,289.9,186
38,22.37,7.64,-26.73,0.1411,0.2036,0.3657,#23335d,285.9,467
39,16.3,6.02,-22.25,0.101,0.1543,0.2828,#192748,285.1,100
40,20.1,4.7,-15.69,0.1643,0.1858,0.2799,#292f47,286.7,347
41,27.98,0.71,-29.16,0.0821,0.2672,0.4344,#14446e,271.4,19
42,32.64,22.8,-55.53,0.1142,0.2741,0.6499,#1d45a5,292.3,88
43,28.86,12.36,-37.65,0.1618,0.2551,0.4963,#29417e,288.2,156
44,37.45,-4.29,-32.75,0.0281,0.3646,0.552,#075c8c,262.5,16
45,41.56,17.98,-57.79,0.1213,0.3691,0.7612,#1e5ec2,287.3,114
46,37.55,12.76,-45.38,0.1817,0.3368,0.6356,#2e55a2,285.7,162
47,47.23,9.69,-53.52,0.1211,0.4398,0.7943,#1e70ca,280.3,81
48,44.87,-0.93,-27.78,0.2707,0.427,0.5965,#456c98,268.1,13
49,40.34,0.33,-38.06,0.1031,0.3855,0.6166,#1a629d,270.5,12
50,46.2,-3.17,-12.2,0.3585,0.439,0.5081,#5b6f81,255.4,22
51,45.94,16.28,-43.67,0.3403,0.4064,0.7143,#5667b6,290.4,4
52,47.66,19.71,-56.48,0.2741,0.4217,0.8198,#456bd1,289.2,24
53,55.42,20.26,-42.52,0.488,0.4882,0.8103,#7c7cce,295.5,11
