cluster_id,n_products,lab_l,lab_a,lab_b,hex_color,hue_angle,freq_pct,freq_deviation_pp,n_discounted,freq_z,freq_pval,freq_testable,depth_pct,depth_deviation_pp,n_discounted_depth,depth_t,depth_pval,depth_testable,r,g,b,freq_significant,depth_significant
1,10,48.3,32.22,-25.98,#935f9e,321.1,,,,,,False,,,6,,,False,0.5784,0.3746,0.6232,False,False
2,19,54.75,29.26,-25.49,#a072af,318.9,57.89473684210527,18.106164547470527,11.0,1.6124439341501922,0.10686537098779057,True,38.78787878787878,6.389716342240355,11,2.2781881292275186,0.045926964237705176,True,0.629,0.4475,0.6879,False,False
3,11,48.59,32.4,-4.52,#a35d7b,352.1,,,,,,False,,,5,,,False,0.6412,0.3678,0.4861,False,False
4,9,45.34,57.18,-33.44,#ab3da4,329.7,,,,,,False,,,4,,,False,0.672,0.2417,0.6437,False,False
5,71,39.29,0.29,-0.05,#5c5c5c,350.4,40.845070422535215,1.0564981279004737,29.0,0.1818776213155964,0.8556787671703932,True,24.979200875752596,-7.41896156988583,29,-3.367982086964613,0.0022180978220925026,True,0.3646,0.3622,0.3631,False,True
6,225,35.1,1.46,-1.69,#535155,310.9,43.111111111111114,3.3225388164763725,97.0,1.018222482131203,0.3085722375466112,True,35.15279700422211,2.754634558583682,97,2.055125054201159,0.04258311396268159,True,0.3283,0.3211,0.3342,False,False
7,60,38.94,0.45,-9.58,#545c6b,272.7,63.33333333333333,23.544761038698592,38.0,3.726072249350132,0.0001944866789706042,True,38.90977443609023,6.511611990451804,38,3.2814428841408185,0.002258045696486609,True,0.3297,0.3613,0.4199,True,True
8,117,40.96,2.08,-2.7,#625f64,307.6,35.8974358974359,-3.8911363971988413,42.0,-0.859905535924181,0.3898411166647321,True,35.602796674225246,3.2046342285868192,42,1.200854538782427,0.23669950808120158,True,0.3846,0.3751,0.396,False,False
9,70,43.57,0.89,-2.47,#66666a,289.8,30.0,-9.78857229463474,21.0,-1.6732072287037165,0.09428650779729555,True,36.95540438397581,4.557241938337384,21,1.4126379429960587,0.17313518547708168,True,0.4021,0.4024,0.4196,False,False
10,50,45.34,0.28,-7.46,#656b77,272.2,34.0,-5.788572294634736,17.0,-0.8362532590030646,0.4030124421714698,True,31.073338426279605,-1.3248240193588217,17,-0.5997124749313208,0.55709616250113,True,0.3974,0.4221,0.469,False,False
11,15,33.08,9.96,-8.94,#57485b,318.1,13.333333333333334,-26.455238961301408,2.0,-2.093334724901505,0.03631928490707284,True,,,2,,,False,0.342,0.2862,0.3607,False,False
