cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
1,43.62,53.38,-44.4,0.594,0.2539,0.6971,#9740b1,320.2,5
2,40.52,26.32,-37.24,0.4115,0.3244,0.615,#68529c,305.2,14
3,50.29,9.69,-14.02,0.4901,0.4517,0.5627,#7c738f,304.6,28
4,55.11,11.92,-15.95,0.5478,0.4948,0.6257,#8b7e9f,306.8,9
5,49.02,1.69,-7.0,0.4454,0.455,0.5028,#717480,283.6,21
6,47.77,-4.43,-9.68,0.3746,0.456,0.5071,#5f7481,245.4,13
7,53.27,-0.7,-11.8,0.4499,0.5037,0.5775,#728093,266.6,14
8,43.44,-0.58,-35.19,0.1816,0.4156,0.6303,#2e69a0,269.1,15
9,47.26,10.89,-49.47,0.227,0.435,0.7673,#396ec3,282.4,65
10,45.93,2.57,-22.4,0.3529,0.4281,0.5725,#596d91,276.5,62
11,52.24,2.78,-24.25,0.4074,0.4903,0.6504,#677da5,276.5,39
12,50.09,20.47,-47.44,0.3987,0.4379,0.7853,#656fc8,293.3,24
13,39.73,4.14,-17.99,0.3288,0.3638,0.4813,#535c7a,283.0,35
14,33.74,8.53,-27.56,0.2554,0.3025,0.4822,#414d7a,287.2,39
15,35.62,-10.07,-21.51,0.0943,0.353,0.4616,#185a75,244.9,10
16,35.31,4.68,-35.47,0.1586,0.3287,0.548,#28538b,277.5,42
17,35.17,21.38,-54.94,0.1422,0.3001,0.6732,#244cab,291.3,43
18,40.55,18.17,-57.19,0.1205,0.3589,0.7461,#1e5bbe,287.6,50
19,40.42,-2.71,-17.01,0.2817,0.3839,0.4814,#47617a,260.9,5
20,40.07,2.76,-27.12,0.2661,0.3734,0.5431,#435f8a,275.8,27
21,25.23,0.72,-0.8,0.2369,0.2334,0.2393,#3c3b3d,312.2,414
22,25.28,1.54,-3.0,0.2361,0.2328,0.2527,#3c3b40,297.1,513
23,24.08,3.46,1.03,0.2478,0.2175,0.2188,#3f3737,16.5,79
24,22.45,6.02,-4.67,0.2337,0.1997,0.2378,#3b323c,322.2,14
