cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
1,78.14,9.68,76.7,0.956,0.7206,0.1098,#f3b71b,82.8,23
2,84.42,-7.96,71.64,0.9172,0.8311,0.2493,#e9d33f,96.3,36
3,96.55,-17.37,51.44,0.9644,0.9893,0.5604,#f5fc8e,108.7,4
4,83.96,-16.15,38.97,0.8053,0.8479,0.5281,#cdd886,112.5,23
5,79.96,-6.78,31.09,0.8121,0.7855,0.5488,#cfc88b,102.3,7
6,70.33,-19.92,20.07,0.582,0.7108,0.5288,#94b586,134.8,2
7,78.96,-14.79,18.23,0.7089,0.7942,0.6319,#b4caa1,129.1,12
8,87.14,-9.84,17.94,0.836,0.8737,0.7217,#d5deb8,118.7,32
9,85.07,-4.84,8.62,0.8239,0.842,0.7691,#d2d6c4,119.3,36
10,68.79,-1.19,12.49,0.6863,0.6576,0.57,#aea791,95.4,179
11,66.14,-0.85,5.23,0.6405,0.6309,0.5937,#a3a097,99.2,25
12,63.8,-5.12,10.07,0.5991,0.6146,0.5355,#989c88,116.9,70
13,67.14,-5.3,2.89,0.6101,0.6515,0.6198,#9ba69e,151.4,34
14,68.33,-3.34,-4.88,0.6099,0.662,0.687,#9ba8af,235.6,21
15,73.47,-7.0,-2.12,0.6444,0.7236,0.7217,#a4b8b8,196.8,15
16,74.29,-3.96,3.71,0.6984,0.7242,0.6893,#b2b8af,136.8,24
17,71.86,-3.68,9.3,0.692,0.6963,0.624,#b0b19f,111.6,145
18,72.1,0.6,5.16,0.7138,0.6903,0.6564,#b6b0a7,83.4,266
19,70.09,-0.05,-0.05,0.6712,0.6719,0.672,#ababab,222.3,1012
20,85.91,4.57,-2.99,0.8676,0.8323,0.8648,#ddd4dc,326.8,18
21,86.5,6.4,1.95,0.9042,0.8328,0.8353,#e6d4d5,16.9,17
22,77.33,-0.16,0.93,0.7508,0.7491,0.7422,#bfbfbd,99.9,910
23,78.83,3.61,2.26,0.7998,0.756,0.7492,#cbc0bf,32.1,24
24,81.19,-0.08,-7.02,0.7645,0.793,0.8416,#c2cad6,269.4,96
25,84.12,0.4,-3.33,0.814,0.8227,0.847,#cfd1d7,276.8,268
26,77.51,1.25,-8.65,0.7291,0.7505,0.8131,#b9bfcf,278.2,133
27,76.95,0.14,-3.26,0.7345,0.7454,0.7682,#bbbec3,272.4,249
28,83.27,1.62,15.79,0.8727,0.8054,0.6981,#decdb2,84.2,34
29,74.62,1.74,8.18,0.758,0.7137,0.6616,#c1b5a8,78.0,450
30,77.91,-1.25,8.05,0.7713,0.7558,0.6969,#c4c0b1,98.8,130
31,80.81,0.5,8.0,0.8158,0.7833,0.7285,#d0c7b9,86.4,642
32,85.85,-2.39,0.83,0.8256,0.847,0.8352,#d2d7d4,160.9,42
33,90.25,0.14,-0.6,0.8893,0.8902,0.8947,#e2e2e4,283.3,546
34,85.2,-0.05,0.62,0.8363,0.8345,0.8299,#d5d4d3,94.4,1428
35,85.38,0.25,5.7,0.8572,0.8343,0.7947,#dad4ca,87.5,1012
36,67.9,8.13,39.16,0.7885,0.6212,0.3705,#c99e5e,78.3,33
37,74.67,21.36,39.91,0.9473,0.6567,0.4357,#f1a76f,61.8,4
38,71.12,29.92,68.75,0.9796,0.5897,0.1498,#f99626,66.5,2
39,69.27,31.62,49.7,0.952,0.5674,0.3104,#f2904f,57.5,4
40,71.53,30.04,29.47,0.9468,0.5997,0.483,#f1987b,44.5,22
41,61.36,37.36,50.75,0.887,0.466,0.2272,#e27639,53.6,26
42,66.77,2.15,7.1,0.6738,0.6301,0.5875,#aba095,73.2,140
43,72.83,2.81,12.66,0.7582,0.691,0.6111,#c1b09b,77.5,246
44,69.58,3.31,14.93,0.7319,0.655,0.5615,#baa78f,77.5,502
45,62.19,5.81,15.73,0.6708,0.5722,0.4817,#ab917a,69.7,37
46,65.08,4.31,18.65,0.6984,0.6049,0.4899,#b29a7c,77.0,724
47,58.87,3.47,12.87,0.6142,0.5444,0.468,#9c8a77,74.9,600
48,60.28,2.01,6.94,0.6043,0.5635,0.5225,#9a8f85,73.9,85
49,63.93,3.7,9.13,0.6599,0.5967,0.5446,#a8988a,68.0,82
50,47.95,3.17,15.86,0.5058,0.4358,0.3424,#806f57,78.7,13
51,51.67,3.44,9.38,0.5316,0.4732,0.421,#87786b,69.9,161
52,50.88,9.78,11.4,0.5673,0.4501,0.4009,#907266,49.4,50
53,55.71,10.81,10.81,0.623,0.4956,0.452,#9e7e73,45.0,18
54,55.6,13.72,27.03,0.6674,0.4839,0.3409,#aa7b56,63.1,12
55,53.81,4.54,18.23,0.5792,0.49,0.3824,#937c61,76.0,56
56,52.92,8.93,50.96,0.6362,0.4662,0.1249,#a2761f,80.1,8
57,48.22,-2.82,16.5,0.4723,0.4511,0.3397,#787356,99.7,28
58,53.42,-3.9,15.2,0.5146,0.505,0.3978,#838065,104.4,20
59,52.33,-2.54,29.13,0.539,0.489,0.2917,#897c4a,95.0,1
60,79.89,8.81,-9.48,0.8111,0.7584,0.8463,#cec1d7,312.9,122
61,77.98,5.38,-5.78,0.7772,0.7449,0.7981,#c6bdcb,313.0,29
62,70.14,4.93,-6.17,0.6883,0.6627,0.7163,#afa8b6,308.6,36
63,73.97,10.29,-9.41,0.758,0.6912,0.7811,#c1b0c7,317.5,72
64,71.69,17.63,-0.24,0.8129,0.6451,0.6926,#cfa4b0,359.2,27
65,75.33,22.72,8.85,0.9092,0.6668,0.6676,#e7aaaa,21.3,16
66,73.67,9.09,10.78,0.8057,0.6852,0.6342,#cdaea1,49.9,13
67,79.89,9.72,2.82,0.8574,0.7522,0.7575,#dabfc1,16.2,18
