cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
1,32.4,51.33,14.82,0.5832,0.0908,0.2184,#941737,16.1,20
2,35.83,57.72,27.22,0.6607,0.061,0.1746,#a80f2c,25.2,34
3,40.27,44.59,10.38,0.6372,0.2304,0.3139,#a23a50,13.1,9
4,40.0,63.2,9.35,0.7209,0.0755,0.3217,#b71352,8.4,150
5,40.79,64.49,17.02,0.7436,0.0625,0.2822,#bd0f47,14.8,103
6,43.5,67.65,14.45,0.7888,0.0715,0.3235,#c91252,12.1,260
7,38.18,64.24,-4.15,0.6879,0.0239,0.3871,#af0662,356.3,51
8,33.26,54.95,-5.27,0.5865,0.0795,0.3459,#951458,354.5,20
9,26.12,48.41,8.32,0.4934,0.022,0.2017,#7d0533,9.8,109
10,29.78,50.67,6.43,0.5424,0.0618,0.2445,#8a0f3e,7.2,131
11,32.55,55.08,9.75,0.5969,0.0475,0.2504,#980c3f,10.0,53
12,39.78,64.31,43.37,0.7461,0.0117,0.1029,#be021a,34.0,18
13,45.6,63.89,43.51,0.8174,0.1471,0.1518,#d02526,34.3,39
14,41.78,64.86,32.96,0.7687,0.0668,0.1915,#c41130,26.9,138
15,38.04,59.97,35.67,0.702,0.0668,0.1399,#b31123,30.7,92
16,34.01,53.83,34.69,0.6257,0.079,0.1099,#9f141c,32.8,66
17,35.4,42.11,36.17,0.591,0.1862,0.1047,#962f1a,40.7,119
18,39.93,44.73,39.08,0.6578,0.219,0.124,#a7371f,41.1,19
19,47.06,21.31,15.47,0.6001,0.3817,0.3399,#996156,36.0,32
20,41.99,29.84,12.14,0.5853,0.3071,0.3158,#954e50,22.1,5
21,46.31,25.41,9.53,0.6047,0.3637,0.3721,#9a5c5e,20.6,18
22,33.09,23.39,12.2,0.4583,0.2445,0.234,#743e3b,27.5,21
23,40.14,23.06,19.86,0.5407,0.3095,0.2484,#894e3f,40.7,33
24,35.53,27.19,22.0,0.5136,0.2528,0.1953,#824031,39.0,23
25,57.42,65.91,1.18,0.9328,0.3032,0.5426,#ed4d8a,1.0,21
26,60.95,53.22,-11.35,0.8827,0.4159,0.661,#e16aa8,348.0,25
27,57.34,47.87,-42.94,0.7152,0.4185,0.8368,#b66ad5,318.1,2
28,49.27,61.1,-28.98,0.7505,0.2585,0.6564,#bf41a7,334.6,8
29,53.6,57.12,-14.65,0.8122,0.3198,0.6067,#cf519a,345.6,17
30,51.03,59.07,8.46,0.8314,0.268,0.4305,#d3446d,8.2,51
31,46.33,70.57,10.18,0.8328,0.0903,0.377,#d41760,8.2,267
32,46.0,49.53,-0.75,0.711,0.27,0.4388,#b5446f,359.1,15
33,44.26,71.91,-4.14,0.7965,0.0173,0.4471,#cb0471,356.7,142
34,41.22,53.46,-22.85,0.6341,0.2096,0.5322,#a13587,336.9,47
35,46.37,38.84,-28.45,0.5909,0.3339,0.62,#96559e,323.8,4
36,44.45,28.86,-5.39,0.5753,0.3394,0.4503,#925672,349.4,53
37,38.62,26.81,-3.85,0.5064,0.2898,0.3839,#814961,351.8,24
38,40.01,17.72,-0.51,0.4774,0.3285,0.3751,#79535f,358.3,4
39,30.12,-14.95,-3.22,0.1432,0.3042,0.296,#244d4b,192.1,80
40,36.26,-15.11,-5.23,0.1875,0.3625,0.3655,#2f5c5d,199.1,23
41,33.62,-21.54,10.23,0.1756,0.3437,0.244,#2c573e,154.6,20
42,31.92,-21.42,-1.88,0.0787,0.3298,0.3037,#14544d,185.0,83
43,43.53,-5.19,4.51,0.3806,0.4125,0.3736,#61695f,139.0,133
44,39.09,-9.29,6.03,0.3138,0.3771,0.3217,#506052,147.0,8
45,43.22,-12.01,2.88,0.3205,0.4223,0.3803,#516b60,166.5,16
46,31.74,-8.76,14.11,0.2712,0.306,0.205,#454e34,121.8,6
47,35.45,-3.42,3.93,0.3153,0.3326,0.3021,#50544d,131.1,123
48,40.59,-4.62,5.97,0.3608,0.3828,0.3366,#5c6155,127.7,66
49,21.16,-4.39,-8.09,0.1387,0.2088,0.2451,#23353e,241.5,112
50,16.9,-3.69,-6.84,0.1145,0.1712,0.2009,#1d2b33,241.6,90
51,26.13,-13.38,-4.24,0.1167,0.2657,0.2663,#1d4343,197.6,28
52,27.56,-5.94,-9.59,0.1737,0.2683,0.3117,#2c444f,238.2,19
53,22.57,-9.78,-7.21,0.1043,0.2293,0.2521,#1a3a40,216.4,15
54,21.93,-9.21,7.33,0.1659,0.2198,0.1624,#2a3829,141.5,65
55,26.18,-16.56,10.15,0.1545,0.2679,0.1805,#27442e,148.5,33
56,21.84,-4.9,3.08,0.1825,0.2129,0.1868,#2e362f,147.8,433
57,14.84,-8.3,5.47,0.1089,0.1585,0.1156,#1b281d,146.6,119
58,16.76,-5.08,3.33,0.1398,0.17,0.1432,#232b24,146.8,183
59,40.73,3.87,10.45,0.427,0.366,0.3105,#6c5d4f,69.7,63
60,39.01,6.01,5.93,0.4134,0.346,0.3235,#695852,44.6,35
61,33.38,0.01,8.1,0.3283,0.3059,0.2579,#534e41,89.9,302
62,32.76,3.22,5.95,0.337,0.2943,0.2661,#554b43,61.6,31
63,25.96,-1.52,12.75,0.2601,0.2414,0.1651,#423d2a,96.8,14
64,23.57,2.65,8.01,0.2533,0.2133,0.1738,#40362c,71.7,113
65,21.24,0.96,5.7,0.2189,0.197,0.1674,#37322a,80.4,83
66,26.92,1.38,-0.56,0.2565,0.2469,0.2528,#413e40,338.0,161
67,32.14,1.06,-0.77,0.3011,0.2945,0.3012,#4c4b4c,323.9,181
68,28.71,-4.68,0.82,0.2366,0.2738,0.2599,#3c4542,170.1,39
69,29.09,-2.07,3.8,0.2659,0.2719,0.2457,#43453e,118.6,141
70,35.07,12.21,18.07,0.4296,0.2925,0.2127,#6d4a36,56.0,14
71,41.84,14.18,24.41,0.5182,0.3495,0.2319,#84593b,59.8,65
72,40.69,12.73,38.91,0.5121,0.3405,0.1159,#82561d,71.9,21
73,35.79,9.8,32.98,0.4403,0.3029,0.1171,#704d1d,73.4,6
74,49.87,-5.78,7.52,0.4465,0.475,0.4146,#717969,127.6,155
75,50.78,-0.85,4.43,0.4813,0.4747,0.4446,#7a7971,100.8,12
76,45.79,-1.37,4.5,0.4288,0.4269,0.3957,#6d6c64,106.9,28
77,38.14,-0.37,10.5,0.3762,0.3505,0.2858,#5f5948,92.0,93
78,43.18,-1.36,13.28,0.4248,0.3998,0.3141,#6c6550,95.8,94
79,41.52,-2.97,26.78,0.4223,0.3849,0.2089,#6b6235,96.3,2
80,47.54,-2.92,15.78,0.4632,0.4447,0.3381,#767156,100.5,72
81,20.85,38.57,-14.39,0.3626,0.0713,0.2823,#5c1247,339.5,90
82,24.77,42.95,-14.55,0.423,0.085,0.3198,#6b1551,341.3,47
83,20.55,31.34,-31.32,0.2739,0.1219,0.3769,#451f60,315.0,81
84,30.05,17.41,-20.77,0.3201,0.2449,0.4045,#513e67,310.0,31
85,26.52,39.2,-38.88,0.3488,0.1484,0.482,#58257a,315.2,31
86,21.29,0.81,-0.25,0.2046,0.199,0.2019,#343233,342.8,804
87,17.41,-1.53,3.17,0.1664,0.1696,0.1498,#2a2b26,115.7,109
88,14.34,1.16,-0.14,0.1486,0.1403,0.1432,#252324,353.1,5689
89,10.19,1.07,-0.2,0.1146,0.1074,0.1104,#1d1b1c,349.3,1974
90,11.71,1.19,-5.72,0.1116,0.1205,0.1517,#1c1e26,281.7,810
91,18.46,1.02,-5.95,0.1648,0.176,0.2098,#2a2c35,279.7,543
92,15.44,1.29,-6.47,0.1397,0.1506,0.1869,#23262f,281.3,1275
