cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
1,47.3,-35.22,43.01,0.2744,0.493,0.1238,#457d1f,129.3,3
2,55.12,-11.64,27.98,0.5066,0.5352,0.3242,#818852,112.6,6
3,49.37,-15.92,25.62,0.4142,0.4856,0.2859,#697b48,121.9,22
4,42.36,-21.61,11.69,0.2627,0.4279,0.314,#426d50,151.6,7
5,38.08,-34.53,12.4,0.0171,0.4035,0.2686,#046644,160.2,24
6,43.12,-36.8,11.76,0.0275,0.4566,0.3187,#077451,162.3,61
7,49.81,-36.06,5.06,0.0777,0.525,0.4269,#13856c,172.0,35
8,53.17,-43.01,13.89,0.05,0.5675,0.3989,#0c9065,162.1,38
9,48.75,-40.56,13.97,0.0495,0.5185,0.3564,#0c845a,161.0,46
10,49.63,-19.3,0.72,0.3063,0.4987,0.4556,#4e7f74,177.9,65
11,42.96,-31.81,3.04,0.0491,0.4501,0.3747,#0c725f,174.5,33
12,39.85,2.9,17.41,0.4255,0.3585,0.2576,#6c5b41,80.6,100
13,39.79,1.35,34.89,0.439,0.3588,0.1354,#6f5b22,87.8,12
14,33.5,3.14,28.66,0.3784,0.2975,0.1265,#604b20,83.8,26
15,39.01,1.2,1.45,0.3723,0.3574,0.3512,#5e5b59,50.4,138
16,38.61,-0.55,6.49,0.3704,0.3561,0.3155,#5e5a50,94.8,117
17,32.95,-0.85,4.24,0.3098,0.3045,0.2778,#4f4d46,101.4,47
18,34.28,-0.3,13.61,0.346,0.3138,0.2316,#58503b,91.3,134
19,35.05,-4.67,12.1,0.3235,0.3296,0.2473,#52543f,111.1,32
20,39.72,-2.1,9.69,0.3786,0.3689,0.3051,#605e4d,102.2,96
21,41.56,-5.99,15.2,0.3836,0.393,0.286,#616448,111.5,26
22,39.47,-10.96,23.07,0.3467,0.3808,0.2142,#586136,115.4,12
23,44.98,-1.07,5.77,0.4264,0.4181,0.3797,#6c6a60,100.5,160
24,46.05,0.01,8.97,0.4521,0.4255,0.3693,#736c5e,89.9,28
25,43.34,-3.12,12.26,0.4129,0.405,0.3219,#696752,104.3,95
26,49.26,-4.13,17.6,0.4765,0.4637,0.3419,#797657,103.2,33
27,48.58,-0.67,18.18,0.4929,0.4498,0.3322,#7d7254,92.1,40
28,43.8,0.33,17.56,0.4499,0.4015,0.2921,#72664a,88.9,98
29,17.77,0.71,7.47,0.1908,0.1679,0.1289,#302a20,84.6,72
