cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
1,17.78,10.77,1.78,0.2322,0.1481,0.162,#3b2529,9.4,43
2,12.29,12.34,2.78,0.1923,0.0994,0.1125,#31191c,12.7,181
3,9.27,9.41,1.6,0.1514,0.0832,0.0948,#261518,9.6,242
4,19.1,4.14,6.49,0.2187,0.1726,0.1457,#372c25,57.5,26
5,24.19,6.23,7.41,0.2771,0.2114,0.1831,#46352e,49.9,117
6,13.02,4.77,2.9,0.1633,0.1223,0.1166,#291f1d,31.3,88
7,21.46,3.94,2.26,0.2302,0.1937,0.1893,#3a3130,29.8,81
8,17.96,2.48,2.93,0.1932,0.167,0.1561,#312a27,49.8,65
9,20.0,2.2,-3.07,0.1942,0.186,0.2069,#312f34,305.6,180
10,25.37,4.45,-3.71,0.2528,0.228,0.258,#403a41,320.1,40
11,27.16,0.69,-1.44,0.2518,0.2506,0.2601,#403f42,295.7,193
12,20.46,0.35,-1.26,0.1919,0.1929,0.2004,#303133,285.4,540
13,18.66,-3.05,7.14,0.1768,0.182,0.1375,#2d2e23,113.2,24
14,13.73,-1.39,1.47,0.133,0.1394,0.1293,#212320,133.5,69
15,5.62,0.05,-1.55,0.0677,0.0724,0.0814,#111214,271.8,2435
16,10.07,1.05,-1.56,0.1102,0.1068,0.1165,#1c1b1d,304.0,4809
17,15.54,0.25,-0.58,0.1521,0.1518,0.1553,#262627,293.2,725
18,15.13,1.66,-1.97,0.1533,0.1462,0.1597,#272528,310.2,1426
19,20.54,18.79,-0.11,0.2931,0.1503,0.1967,#4a2632,359.7,26
20,24.3,19.12,6.23,0.3408,0.1802,0.1928,#562d31,18.0,78
21,17.24,26.57,8.39,0.3067,0.0911,0.1238,#4e171f,17.5,46
22,15.78,19.34,7.68,0.2611,0.1063,0.1148,#421b1d,21.7,108
23,17.16,14.15,5.32,0.2481,0.1336,0.1379,#3f2223,20.6,239
24,12.94,20.26,0.74,0.2299,0.0812,0.1295,#3a1421,2.1,39
25,18.21,37.01,-1.3,0.3498,0.0401,0.1861,#590a2f,358.0,18
26,18.21,28.04,-5.93,0.304,0.0988,0.2104,#4d1935,348.1,20
27,23.33,37.14,-20.48,0.367,0.1119,0.3403,#5d1c56,331.1,10
28,27.42,41.95,-10.74,0.453,0.1195,0.3221,#731e52,345.6,48
29,24.38,32.03,9.31,0.4043,0.1328,0.178,#67212d,16.2,52
30,31.96,29.61,-4.43,0.4513,0.2182,0.3251,#733752,351.5,3
31,32.47,40.66,4.79,0.5248,0.1721,0.2763,#852b46,6.7,33
32,22.7,9.59,-10.63,0.2394,0.1959,0.2747,#3d3146,312.0,40
33,28.17,11.2,-12.39,0.2931,0.2405,0.3355,#4a3d55,312.1,37
34,37.16,3.2,-14.02,0.3153,0.3403,0.4308,#50566d,282.9,47
35,31.19,3.66,-8.52,0.2849,0.2827,0.3397,#484856,293.2,11
36,36.56,5.86,-3.45,0.3653,0.3259,0.3593,#5d535b,329.5,11
37,15.96,4.25,-15.09,0.1281,0.152,0.2392,#20263d,285.7,227
38,9.89,2.14,-11.48,0.0798,0.1062,0.1672,#141b2a,280.5,306
39,17.27,2.35,-12.24,0.1389,0.1655,0.2349,#232a3b,280.9,131
40,12.77,2.77,-10.79,0.111,0.1276,0.1879,#1c202f,284.4,324
41,8.51,12.07,-17.13,0.1091,0.0774,0.186,#1b132f,305.2,22
42,13.26,19.21,-25.69,0.156,0.0998,0.2751,#271946,306.8,52
43,12.95,9.54,-26.27,0.0685,0.1221,0.275,#111f46,290.0,89
44,30.17,5.14,-24.27,0.2111,0.276,0.4262,#35466c,282.0,34
45,31.88,6.99,-18.59,0.2741,0.2854,0.4081,#454868,290.6,42
46,24.77,3.25,-12.42,0.2095,0.2277,0.3035,#353a4d,284.7,77
47,27.93,0.02,-15.38,0.1981,0.2627,0.3503,#324259,270.1,66
48,27.86,31.29,-38.85,0.3109,0.1933,0.4948,#4f317e,308.9,15
49,30.52,21.01,-32.49,0.2967,0.2452,0.4815,#4b3e7a,302.9,8
50,25.06,15.03,-24.92,0.2395,0.2091,0.3813,#3d3561,301.1,52
51,20.26,6.89,-20.98,0.1544,0.1848,0.3121,#272f4f,288.2,152
52,23.09,18.91,-44.42,0.0894,0.1938,0.4802,#16317a,293.1,81
53,19.54,13.52,-34.36,0.1037,0.1709,0.384,#1a2b61,291.5,85
54,37.75,49.67,-15.9,0.5917,0.189,0.4532,#963073,342.2,37
55,33.3,46.19,-15.59,0.5265,0.1609,0.4073,#862967,341.3,103
56,44.51,54.25,-19.75,0.682,0.2391,0.546,#ad3c8b,340.0,27
57,42.45,48.74,-28.91,0.6057,0.2529,0.5831,#9a4094,329.3,15
58,43.72,25.63,-9.17,0.5403,0.3438,0.4668,#895777,340.3,32
59,45.82,21.35,-0.86,0.557,0.3739,0.4337,#8e5f6e,357.7,70
60,41.75,11.45,2.51,0.4652,0.3601,0.3717,#765b5e,12.3,11
61,36.17,17.49,-0.44,0.4378,0.2933,0.3384,#6f4a56,358.6,19
62,40.0,16.13,6.4,0.4824,0.3307,0.3313,#7b5454,21.6,33
63,49.7,66.2,9.16,0.8517,0.1996,0.4147,#d93269,7.9,74
64,46.43,64.07,13.1,0.8061,0.1708,0.3581,#cd2b5b,11.6,66
65,52.77,45.25,4.97,0.7754,0.3579,0.4676,#c55b77,6.3,8
66,53.07,51.53,-8.45,0.7884,0.3387,0.5596,#c9568e,350.7,49
67,45.61,49.73,-11.1,0.689,0.27,0.5011,#af447f,347.4,54
68,46.0,43.21,3.71,0.6857,0.2978,0.4094,#ae4b68,4.9,41
69,39.49,40.58,4.64,0.6013,0.2434,0.3415,#993e57,6.5,50
70,40.06,58.44,13.57,0.7037,0.1328,0.2953,#b3214b,13.1,62
71,48.13,23.6,14.54,0.6226,0.3856,0.3564,#9e625a,31.6,10
72,43.0,37.11,15.79,0.6378,0.2894,0.3034,#a2494d,23.1,4
73,21.81,27.67,15.28,0.3641,0.1263,0.1218,#5c201f,28.9,26
74,26.39,23.26,21.95,0.3977,0.1825,0.1177,#652e1e,43.3,22
75,27.68,23.28,14.48,0.4044,0.1953,0.1737,#67312c,31.9,48
76,26.83,13.12,15.01,0.348,0.2169,0.1613,#583729,48.8,97
77,16.25,11.92,11.33,0.2369,0.1307,0.097,#3c2118,43.5,22
78,21.35,16.59,14.58,0.31,0.1603,0.1197,#4f281e,41.3,37
79,31.44,6.1,12.98,0.354,0.2748,0.2118,#5a4636,64.8,10
80,35.09,5.74,7.44,0.3771,0.3099,0.2782,#604f46,52.4,252
81,29.3,4.09,5.16,0.3081,0.2614,0.2403,#4e423d,51.6,54
82,29.79,6.85,7.1,0.3321,0.2594,0.2333,#54423b,46.0,142
83,35.71,12.14,12.25,0.4274,0.2997,0.2549,#6c4c40,45.3,26
84,35.78,14.18,5.45,0.4274,0.2968,0.298,#6c4b4c,21.0,29
85,32.29,12.49,4.56,0.3821,0.2693,0.2716,#614445,20.0,70
86,31.23,7.27,3.47,0.3408,0.2722,0.2679,#564544,25.5,14
87,25.73,11.73,4.56,0.3152,0.2128,0.2136,#503636,21.3,64
88,39.63,57.71,32.62,0.7097,0.1249,0.1723,#b41f2b,29.5,156
89,27.88,49.24,32.96,0.5324,0.0283,0.0692,#870711,33.8,50
90,35.76,58.23,38.17,0.6675,0.0433,0.1028,#aa0b1a,33.2,105
91,33.03,52.19,31.44,0.6053,0.0836,0.1225,#9a151f,31.1,167
92,27.6,43.16,20.19,0.4969,0.0974,0.1442,#7e1824,25.1,33
93,33.06,49.41,23.47,0.5888,0.1143,0.1716,#961d2b,25.4,73
94,33.89,23.81,12.31,0.4689,0.2506,0.2405,#773f3d,27.3,32
95,39.57,23.77,17.45,0.5353,0.3025,0.259,#884d42,36.3,34
96,36.49,32.35,26.95,0.5528,0.2423,0.1731,#8c3d2c,39.8,21
97,41.89,6.26,7.55,0.4468,0.3723,0.3401,#715e56,50.3,162
98,40.21,6.49,17.48,0.4498,0.3539,0.2611,#725a42,69.6,23
99,42.0,16.37,21.3,0.5276,0.3457,0.2543,#865840,52.4,82
100,38.9,27.48,35.87,0.5631,0.2811,0.1303,#8f4721,52.5,11
101,32.52,17.26,28.28,0.439,0.2546,0.1253,#6f401f,58.6,10
102,36.79,16.18,20.41,0.4708,0.2978,0.2137,#784b36,51.6,53
