cluster_id,n_products,lab_l,lab_a,lab_b,hex_color,hue_angle,freq_pct,freq_deviation_pp,n_discounted,freq_z,freq_pval,freq_testable,depth_pct,depth_deviation_pp,n_discounted_depth,depth_t,depth_pval,depth_testable,r,g,b,freq_significant,depth_significant
1,43,17.78,10.77,1.78,#3b2529,9.4,37.2093023255814,-4.974189450486205,16.0,-0.6604795223997623,0.5089461552817495,True,28.582767722473605,3.924868502027035,16,1.4349849230773626,0.17181331935083544,True,0.2322,0.1481,0.162,False,False
2,181,12.29,12.34,2.78,#31191c,12.7,45.30386740331492,3.120375627247318,82.0,0.8500588081923822,0.39529239148524054,True,23.72539885255093,-0.9325003678956385,82,-0.9100530170636165,0.36549469686077396,True,0.1923,0.0994,0.1125,False,False
3,242,9.27,9.41,1.6,#261518,9.6,46.28099173553719,4.097499959469592,112.0,1.2907122986551982,0.1968034584152224,True,24.681237503111838,0.02333828266526794,112,0.023372818143926104,0.9813948524933332,True,0.1514,0.0832,0.0948,False,False
4,26,19.1,4.14,6.49,#372c25,57.5,7.6923076923076925,-34.491184083759904,2.0,-3.5612100088871963,0.00036914966899877894,True,,,2,,,False,0.2187,0.1726,0.1457,True,False
5,117,24.19,6.23,7.41,#46352e,49.9,47.863247863247864,5.679756087180266,56.0,1.2440144468507153,0.21349424593495736,True,25.848824214353897,1.190924993907327,56,0.9372916908313155,0.3527062655929329,True,0.2771,0.2114,0.1831,False,False
6,88,13.02,4.77,2.9,#291f1d,31.3,46.590909090909086,4.407417314841489,41.0,0.8371982597316134,0.4024811355285899,True,26.820624240725166,2.1627250202785966,41,1.743514946491966,0.08892617786181312,True,0.1633,0.1223,0.1166,False,False
7,81,21.46,3.94,2.26,#3a3130,29.8,29.629629629629626,-12.553862146437972,24.0,-2.2878243191588563,0.02214775400422069,True,23.209475709475708,-1.448423510970862,24,-0.9802437009729542,0.3371650423791524,True,0.2302,0.1937,0.1893,False,False
8,65,17.96,2.48,2.93,#312a27,49.8,47.69230769230769,5.508815916240096,31.0,0.8993272352704845,0.3684783846208617,True,27.134913877889947,2.4770146574433767,31,1.2188925972957045,0.2323829954546989,True,0.1932,0.167,0.1561,False,False
9,180,20.0,2.2,-3.07,#312f34,305.6,47.22222222222222,5.038730446154621,85.0,1.3688636332389335,0.17104190539098596,True,27.45412867478717,2.796229454340601,85,2.3685646691405466,0.020152357088047454,True,0.1942,0.186,0.2069,False,False
10,40,25.37,4.45,-3.71,#403a41,320.1,60.0,17.8165082239324,24.0,2.2816834676878175,0.022508034826414648,True,26.97201178451179,2.314112564065219,24,1.5651233617496434,0.1312101210939098,True,0.2528,0.228,0.258,False,False
11,193,27.16,0.69,-1.44,#403f42,295.7,41.968911917098445,-0.214579858969155,81.0,-0.06036294462465297,0.9518665707225249,True,26.04707068248276,1.3891714620361917,81,1.4844998786701167,0.14160602505919836,True,0.2518,0.2506,0.2601,False,False
12,540,20.46,0.35,-1.26,#303133,285.4,32.592592592592595,-9.590899183475004,176.0,-4.512934321482239,6.393682612126312e-06,True,23.51854512215083,-1.1393540982957404,176,-1.7372403190228183,0.08410417472881279,True,0.1919,0.1929,0.2004,True,False
13,24,18.66,-3.05,7.14,#2d2e23,113.2,37.5,-4.6834917760676,9.0,-0.4645989138638273,0.6422187102324183,True,,,9,,,False,0.1768,0.182,0.1375,False,False
14,69,13.73,-1.39,1.47,#212320,133.5,30.434782608695656,-11.748709167371945,21.0,-1.9761390759594408,0.0481390277833751,True,22.501316641158063,-2.156582579288507,21,-0.798956075491519,0.4337020727193493,True,0.133,0.1394,0.1293,False,False
15,2435,5.62,0.05,-1.55,#111214,271.8,29.281314168377826,-12.902177607689774,713.0,-12.89185185096005,5.002789775018319e-38,True,23.807638884045893,-0.8502603364006767,713,-2.415126338963939,0.015980686959409,True,0.0677,0.0724,0.0814,True,False
16,4809,10.07,1.05,-1.56,#1c1b1d,304.0,40.54897067997505,-1.6345210960925505,1950.0,-2.2952010086720542,0.021721607419447134,True,25.619879459800554,0.9619802393539842,1950,4.557828484207702,5.489081858508891e-06,True,0.1102,0.1068,0.1165,False,True
17,725,15.54,0.25,-0.58,#262627,293.2,29.931034482758623,-12.252457293308977,217.0,-6.6802852607056575,2.3847758770723728e-11,True,24.128600803472203,-0.5292984169743669,217,-0.9522571582567719,0.34203094334333,True,0.1521,0.1518,0.1553,True,False
18,1426,15.13,1.66,-1.97,#272528,310.2,40.04207573632538,-2.1414160397422166,571.0,-1.6374333119464863,0.10153996255064757,True,25.817650801425504,1.1597515809789343,571,3.008440230849854,0.0027418650745137637,True,0.1533,0.1462,0.1597,False,True
19,26,20.54,18.79,-0.11,#4a2632,359.7,30.76923076923077,-11.41426100683683,8.0,-1.1785208777664855,0.23858901410347788,True,,,8,,,False,0.2931,0.1503,0.1967,False,False
20,78,24.3,19.12,6.23,#562d31,18.0,39.743589743589745,-2.4399020324778586,31.0,-0.4363374582831968,0.6625919081717384,True,29.43727598566308,4.779376765216512,31,2.4954215498752745,0.01830941248491092,True,0.3408,0.1802,0.1928,False,False
21,46,17.24,26.57,8.39,#4e171f,17.5,19.565217391304348,-22.61827438476325,9.0,-3.1062842269493984,0.0018945451795915173,True,,,9,,,False,0.3067,0.0911,0.1238,True,False
22,108,15.78,19.34,7.68,#421b1d,21.7,51.85185185185185,9.66836007578425,56.0,2.0345459435849227,0.04189658126685131,True,24.39743282370419,-0.26046639674238037,56,-0.23046319308776209,0.818586951225531,True,0.2611,0.1063,0.1148,False,False
23,239,17.16,14.15,5.32,#3f2223,20.6,47.28033472803347,5.096842951965874,113.0,1.5955227821756135,0.11059537958738486,True,25.89134390189992,1.2334446814533493,113,1.3717555519406666,0.17288120088295955,True,0.2481,0.1336,0.1379,False,False
24,39,12.94,20.26,0.74,#3a1421,2.1,7.6923076923076925,-34.491184083759904,3.0,-4.36157369433299,1.2913028713889547e-05,True,,,3,,,False,0.2299,0.0812,0.1295,True,False
25,18,18.21,37.01,-1.3,#590a2f,358.0,55.55555555555556,13.372063779487958,10.0,1.1487816750330457,0.2506460174354358,True,21.10798240660941,-3.549916813837161,10,-2.545433083435779,0.031429362526747474,True,0.3498,0.0401,0.1861,False,False
26,20,18.21,28.04,-5.93,#4d1935,348.1,60.0,17.8165082239324,12.0,1.6133938525232927,0.10665896788071023,True,15.220969089390138,-9.436930131056432,12,-11.596265534213034,1.6523934977916696e-07,True,0.304,0.0988,0.2104,False,True
27,10,23.33,37.14,-20.48,#5d1c56,331.1,,,,,,False,,,2,,,False,0.367,0.1119,0.3403,False,False
28,48,27.42,41.95,-10.74,#731e52,345.6,45.83333333333333,3.6498415572657317,22.0,0.5120323941086655,0.6086283381504888,True,29.62684537684538,4.968946156398811,22,2.1541915982241227,0.04299125853661069,True,0.453,0.1195,0.3221,False,False
29,52,24.38,32.03,9.31,#67212d,16.2,42.30769230769231,0.12420053162470746,22.0,0.018135433197728607,0.9855308109904983,True,31.191504148025896,6.533604927579326,22,2.5560850474440313,0.018398385138091215,True,0.4043,0.1328,0.178,False,False
30,3,31.96,29.61,-4.43,#733752,351.5,,,,,,False,,,1,,,False,0.4513,0.2182,0.3251,False,False
31,33,32.47,40.66,4.79,#852b46,6.7,42.42424242424242,0.2407506481748256,14.0,0.028004462553432648,0.9776585919411205,True,27.03499370762798,2.3770944871814095,14,1.43495891639136,0.1749178622060649,True,0.5248,0.1721,0.2763,False,False
32,40,22.7,9.59,-10.63,#3d3146,312.0,55.00000000000001,12.816508223932404,22.0,1.6413550040489953,0.10072374442946036,True,24.856206293706293,0.1983070732597234,22,0.10800799499358985,0.9150146618676088,True,0.2394,0.1959,0.2747,False,False
33,37,28.17,11.2,-12.39,#4a3d55,312.1,48.64864864864865,6.465156872581051,18.0,0.7963110396072414,0.4258512705392149,True,28.1325464658798,3.4746472454332284,18,2.2546834875076467,0.03763194773661355,True,0.2931,0.2405,0.3355,False,False
34,47,37.16,3.2,-14.02,#50566d,282.9,31.914893617021278,-10.268598159046322,15.0,-1.4254857994355679,0.15401682211216638,True,26.957142857142856,2.2992436366962856,15,1.29008973759525,0.2179221714620508,True,0.3153,0.3403,0.4308,False,False
35,11,31.19,3.66,-8.52,#484856,293.2,,,,,,False,,,5,,,False,0.2849,0.2827,0.3397,False,False
36,11,36.56,5.86,-3.45,#5d535b,329.5,,,,,,False,,,8,,,False,0.3653,0.3259,0.3593,False,False
37,227,15.96,4.25,-15.09,#20263d,285.7,46.25550660792951,4.072014831861914,105.0,1.2422960008049477,0.21412737035493679,True,25.851475633901646,1.1935764134550766,105,1.244818832517274,0.21599613031740103,True,0.1281,0.152,0.2392,False,False
38,306,9.89,2.14,-11.48,#141b2a,280.5,45.751633986928105,3.568142210860503,140.0,1.2638795176480635,0.20627327447957655,True,24.05299761542346,-0.6049016050231089,140,-0.6945968227575142,0.48846738218928903,True,0.0798,0.1062,0.1672,False,False
39,131,17.27,2.35,-12.24,#232a3b,280.9,50.38167938931297,8.198187613245372,66.0,1.900011843033037,0.057431565468965114,True,24.200360371056696,-0.45753884938987355,66,-0.42862934426629057,0.6696101379648607,True,0.1389,0.1655,0.2349,False,False
40,324,12.77,2.77,-10.79,#1c202f,284.4,40.74074074074074,-1.4427510353268613,132.0,-0.5258558468477318,0.5989883685705572,True,22.67481895828857,-1.9830802621580013,132,-2.327528225275526,0.0214702307612293,True,0.111,0.1276,0.1879,False,False
41,22,8.51,12.07,-17.13,#1b132f,305.2,54.54545454545454,12.361962769386942,12.0,1.1740905135698454,0.2403587728013984,True,25.88141025641026,1.2235110359636892,12,0.40841975198960734,0.6908033645738065,True,0.1091,0.0774,0.186,False,False
42,52,13.26,19.21,-25.69,#271946,306.8,63.46153846153846,21.27804668547086,33.0,3.1069641103351135,0.001890193450566039,True,23.68476430976431,-0.9731349106822584,33,-0.702308538970303,0.4875643213784692,True,0.156,0.0998,0.2751,True,False
43,89,12.95,9.54,-26.27,#111f46,290.0,25.842696629213485,-16.340795146854113,23.0,-3.121555035195937,0.0017989861910621579,True,25.06515223906528,0.4072530186187109,23,0.18843443572113872,0.8522634845916235,True,0.0685,0.1221,0.275,True,False
44,34,30.17,5.14,-24.27,#35466c,282.0,23.52941176470588,-18.654080011361717,8.0,-2.202500933134281,0.0276299432876781,True,,,8,,,False,0.2111,0.276,0.4262,False,False
45,42,31.88,6.99,-18.59,#454868,290.6,64.28571428571429,22.10222250964669,27.0,2.9004367506286393,0.003726430347802107,True,24.938264924376035,0.2803657039294656,27,0.17231798024174916,0.8645218776945566,True,0.2741,0.2854,0.4081,True,False
46,77,24.77,3.25,-12.42,#353a4d,284.7,51.94805194805194,9.764560171984343,40.0,1.7350055003619058,0.08273983096749994,True,24.981206293706297,0.32330707325972696,40,0.21899953716212836,0.8277925042165479,True,0.2095,0.2277,0.3035,False,False
47,66,27.93,0.02,-15.38,#324259,270.1,36.36363636363637,-5.819855412431235,24.0,-0.9573857749687539,0.33837257567477375,True,24.1480833980834,-0.5098158223631692,24,-0.31330084739968467,0.7568756306936505,True,0.1981,0.2627,0.3503,False,False
48,15,27.86,31.29,-38.85,#4f317e,308.9,40.0,-2.183491776067598,6.0,-0.17123794110059234,0.8640366753751323,True,,,6,,,False,0.3109,0.1933,0.4948,False,False
49,8,30.52,21.01,-32.49,#4b3e7a,302.9,,,,,,False,,,3,,,False,0.2967,0.2452,0.4815,False,False
50,52,25.06,15.03,-24.92,#3d3561,301.1,32.69230769230769,-9.491184083759908,17.0,-1.3858776018647192,0.16578428120256272,True,15.877100840336134,-8.780798380110436,17,-9.235132405508846,8.213237684922243e-08,True,0.2395,0.2091,0.3813,False,True
51,152,20.26,6.89,-20.98,#272f4f,288.2,31.57894736842105,-10.604544407646548,48.0,-2.647382028806939,0.008111765692429527,True,26.16433155715237,1.5064323367057995,48,1.6754814427223181,0.10048131639719057,True,0.1544,0.1848,0.3121,True,False
52,81,23.09,18.91,-44.42,#16317a,293.1,56.79012345679012,14.60663168072252,46.0,2.6619224259711203,0.00776957821743182,True,24.791144501278772,0.13324528083220244,46,0.09852424556107563,0.9219535919168172,True,0.0894,0.1938,0.4802,True,False
53,85,19.54,13.52,-34.36,#1a2b61,291.5,32.94117647058823,-9.242315305479366,28.0,-1.7254129400267209,0.0844530809668084,True,26.19594953365962,1.5380503132130485,28,0.771689942185761,0.4469999407919142,True,0.1037,0.1709,0.384,False,False
54,37,37.75,49.67,-15.9,#963073,342.2,45.94594594594595,3.7624541698783487,17.0,0.46342012275014094,0.6430632576621622,True,28.200190332543276,3.5422911120967058,17,1.5756925128062225,0.13466071913057256,True,0.5917,0.189,0.4532,False,False
55,103,33.3,46.19,-15.59,#862967,341.3,51.45631067961165,9.27281890354405,53.0,1.9056063787195057,0.056701293928012694,True,26.430725459027347,1.7728262385807767,53,1.215591075119522,0.22963082660580558,True,0.5265,0.1609,0.4073,False,False
56,27,44.51,54.25,-19.75,#ad3c8b,340.0,25.925925925925924,-16.257565850141674,7.0,-1.7105674795778376,0.0871609866123293,True,,,7,,,False,0.682,0.2391,0.546,False,False
57,15,42.45,48.74,-28.91,#9a4094,329.3,53.333333333333336,11.149841557265733,8.0,0.874414061363013,0.38189280249826574,True,,,8,,,False,0.6057,0.2529,0.5831,False,False
58,32,43.72,25.63,-9.17,#895777,340.3,78.125,35.9415082239324,25.0,4.116935795060358,3.8394297535470815e-05,True,28.172549019607846,3.514649799161276,25,1.9673065143341946,0.06081004236867885,True,0.5403,0.3438,0.4668,True,False
59,70,45.82,21.35,-0.86,#8e5f6e,357.7,61.42857142857143,19.245079652503833,43.0,3.2604049233467793,0.0011125325952145019,True,26.858392975014045,2.200493754567475,43,1.387961668758076,0.17246807208471895,True,0.557,0.3739,0.4337,True,False
60,11,41.75,11.45,2.51,#765b5e,12.3,,,,,,False,,,1,,,False,0.4652,0.3601,0.3717,False,False
61,19,36.17,17.49,-0.44,#6f4a56,358.6,57.89473684210527,15.711245066037666,11.0,1.3867245707165987,0.16552576529156082,True,28.24754193175246,3.5896427113058884,11,1.153499269253128,0.27553024132518933,True,0.4378,0.2933,0.3384,False,False
62,33,40.0,16.13,6.4,#7b5454,21.6,24.242424242424242,-17.941067533643356,8.0,-2.086930846182697,0.036894386097384935,True,,,8,,,False,0.4824,0.3307,0.3313,False,False
63,74,49.7,66.2,9.16,#d93269,7.9,43.24324324324324,1.0597514671756458,32.0,0.184596173259728,0.8535457876576129,True,25.843125684181718,1.1852264637351482,32,0.7292870558330861,0.4713007168616615,True,0.8517,0.1996,0.4147,False,False
64,66,46.43,64.07,13.1,#cd2b5b,11.6,33.33333333333333,-8.85015844273427,22.0,-1.4558808078281482,0.14542557202327647,True,26.51681651681652,1.858917296369949,22,0.90849312468802,0.3739264282121921,True,0.8061,0.1708,0.3581,False,False
65,8,52.77,45.25,4.97,#c55b77,6.3,,,,,,False,,,3,,,False,0.7754,0.3579,0.4676,False,False
66,49,53.07,51.53,-8.45,#c9568e,350.7,44.89795918367347,2.7144674076058695,22.0,0.384756068900086,0.7004181499942237,True,26.57548299653563,1.9175837760890602,22,0.9755032219262443,0.3404148564152142,True,0.7884,0.3387,0.5596,False,False
67,54,45.61,49.73,-11.1,#af447f,347.4,48.148148148148145,5.964656372080546,26.0,0.88753423872765,0.37479134093331035,True,26.235651345558463,1.5777521251118927,26,0.7859094836123068,0.4393063909605628,True,0.689,0.27,0.5011,False,False
68,41,46.0,43.21,3.71,#ae4b68,4.9,36.58536585365854,-5.598125922409064,15.0,-0.7258341520416268,0.4679404476728355,True,23.300473405736565,-1.3574258147100053,15,-0.6931789969517644,0.49953622435790174,True,0.6857,0.2978,0.4094,False,False
69,50,39.49,40.58,4.64,#993e57,6.5,38.0,-4.1834917760676,19.0,-0.5989998713300004,0.5491729703730067,True,23.696817802080957,-0.9610814183656124,19,-0.5680634431789883,0.5770102147379591,True,0.6013,0.2434,0.3415,False,False
70,62,40.06,58.44,13.57,#b3214b,13.1,41.935483870967744,-0.24800790509985626,26.0,-0.03954250479999372,0.9684578660697578,True,26.140522875817,1.4826236553704284,26,0.8161188034979439,0.4221406506800542,True,0.7037,0.1328,0.2953,False,False
71,10,48.13,23.6,14.54,#9e625a,31.6,,,,,,False,,,6,,,False,0.6226,0.3856,0.3564,False,False
72,4,43.0,37.11,15.79,#a2494d,23.1,,,,,,False,,,0,,,False,0.6378,0.2894,0.3034,False,False
73,26,21.81,27.67,15.28,#5c201f,28.9,19.230769230769234,-22.952722545298368,5.0,-2.369865443326841,0.017794559969063723,True,,,5,,,False,0.3641,0.1263,0.1218,True,False
74,22,26.39,23.26,21.95,#652e1e,43.3,68.18181818181817,25.99832640575058,15.0,2.469218599919626,0.013540847156252478,True,21.176638176638175,-3.481261043808395,15,-1.2342705188969088,0.23741981502307158,True,0.3977,0.1825,0.1177,True,False
75,48,27.68,23.28,14.48,#67312c,31.9,54.166666666666664,11.983174890599063,26.0,1.681106873267365,0.09274215759511063,True,27.24238568273563,2.5844864622890604,26,1.431013882243981,0.16480864638904927,True,0.4044,0.1953,0.1737,False,False
76,97,26.83,13.12,15.01,#583729,48.8,47.42268041237113,5.239188636303532,46.0,1.0448470236582446,0.2960936775675872,True,23.36334522440383,-1.2945539960427404,46,-0.9408557086760175,0.3518022557328452,True,0.348,0.2169,0.1613,False,False
77,22,16.25,11.92,11.33,#3c2118,43.5,63.63636363636363,21.452871860296035,14.0,2.037509237803033,0.04159903716272056,True,23.623344074471895,-1.0345551459746751,14,-0.39047306255731423,0.7025101158646287,True,0.2369,0.1307,0.097,False,False
78,37,21.35,16.59,14.58,#4f281e,41.3,67.56756756756756,25.384075791499967,25.0,3.126547457606944,0.0017687195493224267,True,25.190718954248364,0.5328197338017944,25,0.25426246990293544,0.8014586405902926,True,0.31,0.1603,0.1197,True,False
79,10,31.44,6.1,12.98,#5a4636,64.8,,,,,,False,,,1,,,False,0.354,0.2748,0.2118,False,False
80,252,35.09,5.74,7.44,#604f46,52.4,39.682539682539684,-2.5009520935279195,100.0,-0.8039118872371265,0.421447864349066,True,25.226325915799602,0.5684266953530326,100,0.6369679246310117,0.5256159418352043,True,0.3771,0.3099,0.2782,False,False
81,54,29.3,4.09,5.16,#4e423d,51.6,42.592592592592595,0.4091008165249932,23.0,0.06087374680240284,0.9514597576770574,True,18.018727970079027,-6.639171250367543,23,-5.400456588348542,2.0091810216602103e-05,True,0.3081,0.2614,0.2403,False,True
82,142,29.79,6.85,7.1,#54423b,46.0,48.59154929577465,6.40805751970705,69.0,1.546227456917581,0.12204964463102343,True,25.54418313838604,0.886283917939469,69,0.7027062766812355,0.48463756560244037,True,0.3321,0.2594,0.2333,False,False
83,26,35.71,12.14,12.25,#6c4c40,45.3,15.384615384615385,-26.798876391452215,4.0,-2.766980298513626,0.005657817422236755,True,,,4,,,False,0.4274,0.2997,0.2549,True,False
84,29,35.78,14.18,5.45,#6c4b4c,21.0,24.137931034482758,-18.04556074158484,7.0,-1.967760271386696,0.049095627342221615,True,,,7,,,False,0.4274,0.2968,0.298,False,False
85,70,32.29,12.49,4.56,#614445,20.0,15.714285714285714,-26.469206061781886,11.0,-4.484280206639009,7.316047238522851e-06,True,14.107193032193033,-10.550706188253537,11,-5.86847250313829,0.00015762115591635352,True,0.3821,0.2693,0.2716,True,True
86,14,31.23,7.27,3.47,#564544,25.5,21.428571428571427,-20.75492034749617,3.0,-1.5724900140658253,0.11583695325317299,True,,,3,,,False,0.3408,0.2722,0.2679,False,False
87,64,25.73,11.73,4.56,#503636,21.3,12.5,-29.6834917760676,8.0,-4.808479640815081,1.5208251411828149e-06,True,,,8,,,False,0.3152,0.2128,0.2136,True,False
88,156,39.63,57.71,32.62,#b41f2b,29.5,18.58974358974359,-23.59374818632401,29.0,-5.967082555953216,2.4153321949673505e-09,True,22.1826744940564,-2.47522472639017,29,-1.4605744571907728,0.15526341167960145,True,0.7097,0.1249,0.1723,True,False
89,50,27.88,49.24,32.96,#870711,33.8,54.0,11.816508223932404,27.0,1.6919088848690569,0.09066334767313435,True,22.80167336607499,-1.85622585437158,27,-1.2251855995300118,0.23148904439897233,True,0.5324,0.0283,0.0692,False,False
90,105,35.76,58.23,38.17,#aa0b1a,33.2,35.23809523809524,-6.945396537972359,37.0,-1.441101277326393,0.1495560727490302,True,25.064703182350243,0.4068039619036732,37,0.3062449437912684,0.7611823264621546,True,0.6675,0.0433,0.1028,False,False
