cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
1,29.86,-14.0,-13.83,0.0426,0.3031,0.3581,#0a4d5b,224.7,66
2,25.42,-14.77,-9.26,0.0338,0.2625,0.2894,#084249,212.1,36
3,27.66,-10.39,-5.46,0.1552,0.2753,0.2875,#274649,207.7,63
4,34.97,-9.17,-2.47,0.2465,0.3398,0.3367,#3e5655,195.1,5
5,34.94,-19.35,-7.79,0.088,0.357,0.3686,#165b5d,201.9,20
6,30.86,-22.51,-2.84,0.0185,0.3216,0.2999,#04524c,187.2,25
7,19.69,-9.26,-7.5,0.0814,0.2036,0.2284,#14333a,219.0,118
8,20.55,-3.16,-2.89,0.1647,0.2002,0.2102,#293335,222.5,23
9,14.48,-6.44,-5.73,0.0764,0.155,0.1741,#13272c,221.7,28
10,20.0,-16.62,10.54,0.1018,0.2128,0.1269,#193620,147.6,14
11,24.73,-17.27,-1.88,0.068,0.2579,0.2395,#11413d,186.2,15
12,19.82,-12.74,-4.22,0.0637,0.2088,0.2106,#103535,198.3,93
13,40.34,-9.24,7.5,0.3302,0.3886,0.3239,#546352,141.0,3
14,33.47,-3.61,9.89,0.3107,0.3134,0.2472,#4f4f3f,110.0,23
15,30.79,-0.29,16.76,0.3183,0.2815,0.1815,#51472e,91.0,47
16,24.11,-1.2,1.89,0.2224,0.2266,0.2136,#383936,122.3,19
17,26.33,-3.24,5.99,0.2395,0.2489,0.2084,#3d3f35,118.4,21
18,24.19,2.17,8.79,0.2577,0.2195,0.1743,#41372c,76.1,25
19,17.33,-0.03,9.42,0.1864,0.1653,0.1142,#2f2a1d,90.2,25
20,23.29,-0.9,11.47,0.2373,0.2171,0.1505,#3c3726,94.5,76
21,44.74,-32.12,1.99,0.0541,0.4686,0.3985,#0d7765,176.5,10
22,41.57,-27.1,-4.41,0.0337,0.4315,0.4099,#086e68,189.2,14
23,37.25,-26.51,-0.94,0.043,0.3876,0.3468,#0a6258,182.0,72
24,34.34,-30.19,14.23,0.0935,0.3614,0.2239,#175c39,154.8,34
25,41.14,-35.54,14.66,0.0778,0.4348,0.2815,#136e47,157.6,27
26,38.9,-23.38,8.64,0.1992,0.3973,0.3016,#32654c,159.7,31
27,42.92,-20.72,-12.25,0.1068,0.4375,0.4741,#1b6f78,210.6,9
28,38.88,-17.75,-14.98,0.07,0.3943,0.452,#116473,220.2,28
29,48.18,-9.65,-11.85,0.3206,0.4706,0.525,#517885,230.8,24
