cluster_id,n_products,lab_l,lab_a,lab_b,hex_color,hue_angle,freq_pct,freq_deviation_pp,n_discounted,freq_z,freq_pval,freq_testable,depth_pct,depth_deviation_pp,n_discounted_depth,depth_t,depth_pval,depth_testable,r,g,b,freq_significant,depth_significant
1,66,29.86,-14.0,-13.83,#0a4d5b,224.7,51.515151515151516,3.6537333666959215,34.0,0.5942051759537965,0.5523748913072717,True,46.6961861667744,6.326341253433732,34,3.172263231709174,0.003262990539158771,True,0.0426,0.3031,0.3581,False,True
2,36,25.42,-14.77,-9.26,#084249,212.1,44.44444444444444,-3.4169737040111503,16.0,-0.4104124232298531,0.6815034345746878,True,52.082570207570214,11.712725294229543,16,6.371241748687634,1.255943788741344e-05,True,0.0338,0.2625,0.2894,False,True
3,63,27.66,-10.39,-5.46,#274649,207.7,28.57142857142857,-19.289989577027022,18.0,-3.0649957676776456,0.002176730774199607,True,36.03225015725016,-4.33759475609051,18,-1.6115905536776463,0.12546028759412978,True,0.1552,0.2753,0.2875,True,False
4,5,34.97,-9.17,-2.47,#3e5655,195.1,,,,,,False,,,1,,,False,0.2465,0.3398,0.3367,False,False
5,20,34.94,-19.35,-7.79,#165b5d,201.9,40.0,-7.86141814845559,8.0,-0.7037906717550635,0.481563143782627,True,,,8,,,False,0.088,0.357,0.3686,False,False
6,25,30.86,-22.51,-2.84,#04524c,187.2,24.0,-23.86141814845559,6.0,-2.3883274334519378,0.016925254826781914,True,,,6,,,False,0.0185,0.3216,0.2999,True,False
7,118,19.69,-9.26,-7.5,#14333a,219.0,62.71186440677966,14.850446258324068,74.0,3.229297969942709,0.0012409452565660059,True,35.69559494559495,-4.674249967745723,74,-3.023061606723104,0.0034508136676328818,True,0.0814,0.2036,0.2284,True,True
8,23,20.55,-3.16,-2.89,#293335,222.5,30.434782608695656,-17.42663553975994,7.0,-1.67303519799774,0.09432036711873396,True,,,7,,,False,0.1647,0.2002,0.2102,False,False
9,28,14.48,-6.44,-5.73,#13272c,221.7,35.714285714285715,-12.147132434169878,10.0,-1.28670916250744,0.19819567829057194,True,38.06666666666666,-2.3031782466740083,10,-0.701171542169615,0.5009218470865284,True,0.0764,0.155,0.1741,False,False
10,14,20.0,-16.62,10.54,#193620,147.6,14.285714285714285,-33.57570386274131,2.0,-2.5148770348181135,0.011907390635952005,True,,,2,,,False,0.1018,0.2128,0.1269,True,False
11,15,24.73,-17.27,-1.88,#11413d,186.2,26.666666666666668,-21.194751481788927,4.0,-1.6432421626226763,0.10033283958827946,True,,,4,,,False,0.068,0.2579,0.2395,False,False
12,93,19.82,-12.74,-4.22,#103535,198.3,46.236559139784944,-1.6248590086706483,43.0,-0.3136785114181406,0.7537652230321367,True,34.361750741462046,-6.008094171878625,43,-3.3621959552934877,0.0016576927738583542,True,0.0637,0.2088,0.2106,False,True
13,3,40.34,-9.24,7.5,#546352,141.0,,,,,,False,,,2,,,False,0.3302,0.3886,0.3239,False,False
