cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
1,29.45,-0.56,-5.08,0.2522,0.2743,0.3024,#40454d,263.7,40
2,27.68,-2.94,3.46,0.2469,0.2609,0.2352,#3e423b,130.3,11
3,28.28,0.72,0.49,0.2675,0.2601,0.2587,#444241,34.4,125
4,18.87,0.89,-12.01,0.1425,0.1814,0.2476,#242e3f,274.2,25
5,31.46,2.88,-5.42,0.2926,0.2859,0.3234,#4a4852,298.0,55
6,25.5,2.61,-3.37,0.2436,0.2327,0.2569,#3e3b41,307.8,66
7,24.18,8.93,-12.36,0.2428,0.2107,0.2982,#3d354c,305.8,43
8,17.36,5.05,-16.95,0.1366,0.1627,0.2623,#222942,286.6,39
9,15.78,8.55,-13.74,0.1621,0.1414,0.2305,#29243a,301.9,28
10,13.5,-0.29,1.48,0.1375,0.1357,0.1276,#232220,101.0,111
11,9.08,0.74,0.31,0.1054,0.0993,0.0991,#1a1919,22.3,1302
12,12.13,2.69,-10.48,0.1065,0.1225,0.1807,#1b1f2e,284.4,16
13,12.7,2.96,-4.81,0.1331,0.125,0.1551,#211f27,301.6,226
14,16.18,1.56,0.78,0.1683,0.1544,0.1532,#2a2727,26.7,500
15,20.14,0.0,1.12,0.1935,0.1904,0.1842,#31302e,89.9,92
16,15.75,0.85,-0.86,0.1566,0.1525,0.1586,#272628,314.5,440
17,14.5,2.46,4.71,0.1672,0.1382,0.1182,#2a231e,62.5,35
18,14.63,6.4,1.75,0.1829,0.1321,0.1359,#2e2122,15.3,26
19,11.54,2.02,0.92,0.133,0.1161,0.1152,#211d1d,24.4,1050
20,25.35,19.99,4.79,0.353,0.1871,0.2102,#5a2f35,13.5,9
21,28.08,11.62,2.4,0.3328,0.2343,0.2469,#543b3e,11.7,9
22,22.32,19.98,-5.45,0.3059,0.1638,0.2426,#4d293d,344.7,19
23,18.1,14.23,-1.76,0.2456,0.143,0.1847,#3e242f,353.0,63
24,22.35,29.52,10.09,0.373,0.1248,0.1563,#5f1f27,18.9,115
25,17.5,25.46,6.91,0.3031,0.0986,0.1337,#4d1922,15.2,84
26,12.01,13.08,6.83,0.1982,0.0943,0.089,#321816,27.6,6
27,12.07,20.82,3.53,0.2276,0.0708,0.108,#3a121b,9.6,12
28,39.49,2.85,-9.75,0.3518,0.3615,0.4265,#595c6c,286.3,15
29,40.26,0.4,-0.59,0.3729,0.3714,0.3757,#5f5e5f,304.0,35
30,34.34,2.84,3.1,0.3429,0.3101,0.2978,#574f4b,47.5,29
31,32.98,5.59,-1.9,0.3343,0.2931,0.3162,#554a50,341.3,42
32,39.54,12.49,2.45,0.4491,0.3367,0.3513,#725559,11.1,57
33,44.31,13.95,10.59,0.5222,0.3763,0.3445,#855f57,37.2,14
34,47.53,8.23,0.48,0.4983,0.4238,0.4399,#7f6c70,3.4,8
35,47.7,9.18,13.35,0.5345,0.42,0.3576,#886b5b,55.5,13
36,47.55,1.53,3.57,0.4631,0.4382,0.4191,#766f6a,66.8,14
37,41.92,3.99,8.26,0.4347,0.3774,0.3355,#6e6055,64.2,6
38,33.06,10.53,11.93,0.3919,0.2794,0.2331,#63473b,48.6,34
39,33.89,13.38,26.91,0.4333,0.2775,0.1453,#6e4625,63.6,5
40,34.15,1.02,21.42,0.3648,0.3088,0.1809,#5d4e2e,87.3,1
41,23.28,0.28,15.68,0.2502,0.2142,0.1254,#3f361f,89.0,16
42,19.94,10.53,6.35,0.2581,0.1656,0.1542,#412a27,31.1,43
43,25.49,16.04,16.29,0.3502,0.1973,0.1431,#593224,45.4,10
44,23.0,9.7,11.32,0.2897,0.1927,0.1508,#493126,49.4,35
45,55.07,67.65,46.58,0.9574,0.2441,0.2159,#f43e37,34.6,15
46,48.63,67.48,45.08,0.8732,0.155,0.1692,#de272b,33.7,84
47,39.27,54.03,31.88,0.6883,0.1535,0.1726,#af272c,30.5,47
48,42.91,64.05,39.91,0.7828,0.1009,0.1544,#c71927,31.9,125
49,50.38,44.64,26.12,0.7716,0.3296,0.306,#c4544e,30.3,38
50,46.83,68.73,33.65,0.8501,0.1122,0.2323,#d81c3b,26.1,5
51,45.42,52.47,23.05,0.7481,0.2388,0.2828,#be3c48,23.7,12
52,44.42,36.47,28.56,0.664,0.303,0.2334,#a94d3b,38.1,5
53,43.61,22.24,26.75,0.5818,0.3436,0.2341,#94573b,50.3,19
54,36.42,37.65,26.79,0.5767,0.2199,0.1753,#93382c,35.4,5
55,35.92,35.23,34.95,0.5651,0.224,0.1146,#90391d,44.8,10
56,33.75,46.29,22.28,0.5821,0.1466,0.1837,#94252e,25.7,30
57,26.81,40.08,33.27,0.4816,0.1072,0.052,#7a1b0d,39.7,3
58,29.81,44.64,25.67,0.5318,0.1111,0.1296,#871c21,29.9,17
59,37.89,56.73,-8.48,0.6421,0.1339,0.4096,#a32268,351.5,14
60,39.89,62.01,-0.75,0.7019,0.1011,0.3821,#b21961,359.3,14
61,35.89,34.57,11.9,0.542,0.2312,0.2628,#8a3a43,19.0,32
62,33.14,53.8,1.18,0.5885,0.0849,0.3061,#96154e,1.3,18
63,26.38,46.78,-1.04,0.479,0.0589,0.257,#7a0f41,358.7,12
64,50.72,45.81,-21.85,0.699,0.3464,0.6228,#b2589e,334.5,45
65,47.12,67.6,-5.95,0.8068,0.1603,0.486,#cd287b,355.0,18
66,51.82,68.01,8.94,0.8861,0.213,0.4369,#e1366f,7.5,12
67,14.6,-7.36,-5.18,0.0716,0.1572,0.172,#12282b,215.1,32
68,19.0,-10.36,-6.51,0.0688,0.1989,0.2167,#113237,212.1,67
69,27.16,-12.09,-15.42,0.017,0.2761,0.3424,#044657,231.9,27
70,22.91,-5.81,-20.66,0.0092,0.2303,0.3341,#023a55,254.3,1
71,34.25,-17.74,-11.55,0.0567,0.349,0.3855,#0e5962,213.1,23
72,20.18,-16.74,-0.47,0.0385,0.2163,0.192,#093730,181.6,19
73,30.11,-11.84,-2.72,0.1779,0.2992,0.2932,#2d4c4a,192.9,14
74,23.76,-11.34,-4.57,0.1154,0.2415,0.2472,#1d3d3f,202.0,66
75,52.94,-1.24,-35.91,0.2811,0.5104,0.7364,#4782bb,268.0,18
76,39.33,11.95,-48.56,0.1418,0.3569,0.6753,#245bac,283.8,33
77,46.44,-0.39,-24.22,0.3188,0.4398,0.5894,#517096,269.1,18
78,46.24,11.66,-44.29,0.2863,0.4206,0.7213,#496bb7,284.8,10
79,45.92,2.26,-43.37,0.1384,0.4376,0.7111,#236fb5,273.0,17
80,43.76,12.34,-30.06,0.3726,0.3884,0.601,#5f6399,292.3,56
81,38.06,43.34,-43.71,0.4735,0.2449,0.6323,#783ea1,314.8,4
82,47.37,36.64,-30.51,0.5809,0.3529,0.6439,#9459a4,320.2,7
83,18.51,21.8,-36.31,0.1604,0.142,0.386,#282462,301.0,14
84,24.18,23.2,-41.01,0.1955,0.1888,0.4704,#313077,299.5,27
85,32.95,22.61,-43.39,0.2647,0.269,0.5751,#434492,297.5,69
86,26.64,10.84,-38.29,0.1029,0.2394,0.4778,#1a3d79,285.8,27
87,33.44,1.35,-19.89,0.2352,0.3117,0.4309,#3b4f6d,273.9,46
88,30.51,0.18,-14.15,0.2293,0.2852,0.3672,#3a485d,270.7,17
89,26.54,7.79,-20.85,0.2197,0.2369,0.3706,#383c5e,290.5,42
90,33.18,11.03,-25.09,0.2851,0.2907,0.4614,#484a75,293.7,36
91,68.73,6.84,-28.51,0.5916,0.6512,0.8586,#96a6da,283.5,24
92,66.93,14.89,-19.73,0.6785,0.6092,0.7779,#ad9bc6,307.0,33
93,62.32,16.03,-25.23,0.6156,0.5609,0.7662,#9c8fc3,302.4,33
94,60.03,-2.52,-15.51,0.4854,0.5772,0.6729,#7b93ab,260.8,81
95,60.53,21.74,-43.02,0.5528,0.5357,0.8705,#8c88dd,296.8,8
96,61.01,4.08,-31.94,0.4635,0.5789,0.7972,#7693cb,277.3,5
97,73.95,-3.62,-27.02,0.5562,0.7296,0.9052,#8dbae6,262.4,32
98,64.2,-5.41,-30.2,0.4077,0.6316,0.8194,#67a1d0,259.8,11
