cluster_id,n_products,lab_l,lab_a,lab_b,hex_color,hue_angle,freq_pct,freq_deviation_pp,n_discounted,freq_z,freq_pval,freq_testable,depth_pct,depth_deviation_pp,n_discounted_depth,depth_t,depth_pval,depth_testable,r,g,b,freq_significant,depth_significant
1,40,29.45,-0.56,-5.08,#40454d,263.7,22.5,-28.80898924002373,9.0,-3.6453303578756846,0.00026704852865041845,True,,,9,,,False,0.2522,0.2743,0.3024,True,False
2,11,27.68,-2.94,3.46,#3e423b,130.3,,,,,,False,,,0,,,False,0.2469,0.2609,0.2352,False,False
3,125,28.28,0.72,0.49,#444241,34.4,47.199999999999996,-4.10898924002373,59.0,-0.9191129512757638,0.35803649572673046,True,38.11242442156223,-4.177420048571413,59,-2.301546528859589,0.024972069129473005,True,0.2675,0.2601,0.2587,False,False
4,25,18.87,0.89,-12.01,#242e3f,274.2,68.0,16.691010759976276,17.0,1.6696733553791638,0.0949840081805968,True,35.64362108479755,-6.646223385336093,17,-1.8753511913931964,0.07911452749977646,True,0.1425,0.1814,0.2476,False,False
5,55,31.46,2.88,-5.42,#4a4852,298.0,38.18181818181819,-13.127171058205544,21.0,-1.9477417099509073,0.05144587660273687,True,41.242424242424235,-1.0474202277094093,21,-0.3742331009761413,0.7121691662485452,True,0.2926,0.2859,0.3234,False,False
6,66,25.5,2.61,-3.37,#3e3b41,307.8,36.36363636363637,-14.945352876387364,24.0,-2.4291650093899793,0.015133642893943068,True,50.713383838383834,8.42353936825019,24,4.142887804997117,0.00039431547577631137,True,0.2436,0.2327,0.2569,True,True
7,43,24.18,8.93,-12.36,#3d354c,305.8,18.6046511627907,-32.70433807723303,8.0,-4.2906043300395105,1.7818754827413544e-05,True,,,8,,,False,0.2428,0.2107,0.2982,True,False
8,39,17.36,5.05,-16.95,#222942,286.6,43.58974358974359,-7.719245650280138,17.0,-0.9644640420826766,0.3348133277434142,True,36.102198455139636,-6.187646014994009,17,-1.9368874653907537,0.07062237967718964,True,0.1366,0.1627,0.2623,False,False
9,28,15.78,8.55,-13.74,#29243a,301.9,14.285714285714285,-37.02327495430944,4.0,-3.919518542265656,8.87260352610627e-05,True,,,4,,,False,0.1621,0.1414,0.2305,True,False
10,111,13.5,-0.29,1.48,#232220,101.0,28.82882882882883,-22.4801604111949,32.0,-4.73848784143145,2.1531894579962833e-06,True,36.02828941891442,-6.261555051219226,32,-2.479134566418571,0.01881431675467422,True,0.1375,0.1357,0.1276,True,False
11,1302,9.08,0.74,0.31,#1a1919,22.3,44.93087557603687,-6.378113663986862,585.0,-4.6044379203440755,4.135813625706328e-06,True,41.41634608508491,-0.8734983850487339,585,-1.503420180863641,0.13327128432504778,True,0.1054,0.0993,0.0991,True,False
12,16,12.13,2.69,-10.48,#1b1f2e,284.4,0.0,-51.30898924002373,0.0,-4.106126511208389,4.023491763158441e-05,True,,,0,,,False,0.1065,0.1225,0.1807,True,False
13,226,12.7,2.96,-4.81,#211f27,301.6,49.557522123893804,-1.7514671161299233,112.0,-0.5267870409670905,0.5983414831069738,True,42.73307566493657,0.4432311948029266,112,0.30652287688562707,0.7597807948453679,True,0.1331,0.125,0.1551,False,False
14,500,16.18,1.56,0.78,#2a2727,26.7,54.2,2.8910107599762758,271.0,1.2933426088779136,0.1958925900032905,True,41.82351599215525,-0.4663284779783936,271,-0.44579851323571734,0.6561000565806472,True,0.1683,0.1544,0.1532,False,False
15,92,20.14,0.0,1.12,#31302e,89.9,18.478260869565215,-32.83072837045851,17.0,-6.300185066145026,2.972904713936529e-10,True,33.3255524431995,-8.964292026934146,17,-2.626489707118452,0.018326539037091152,True,0.1935,0.1904,0.1842,True,False
16,440,15.75,0.85,-0.86,#272628,314.5,39.31818181818182,-11.99080742184191,173.0,-5.0321507344579395,4.850076751010273e-07,True,39.63668969157074,-2.6531547785629073,173,-2.1378496308487787,0.033941104054348255,True,0.1566,0.1525,0.1586,True,False
17,35,14.5,2.46,4.71,#2a231e,62.5,28.57142857142857,-22.737560668595158,10.0,-2.691266889624562,0.007118122459653315,True,43.45454545454545,1.1647009844118088,10,0.3052330552813365,0.7671299497031729,True,0.1672,0.1382,0.1182,True,False
18,26,14.63,6.4,1.75,#2e2122,15.3,15.384615384615385,-35.92437385540834,4.0,-3.664837786649594,0.0002474953971005872,True,,,4,,,False,0.1829,0.1321,0.1359,True,False
19,1050,11.54,2.02,0.92,#211d1d,24.4,55.52380952380952,4.214820283785792,583.0,2.7324522810798637,0.006286477724801391,True,42.66485883083143,0.37501436069778293,583,0.614355688153645,0.5392203926656606,True,0.133,0.1161,0.1152,True,False
20,9,25.35,19.99,4.79,#5a2f35,13.5,,,,,,False,,,3,,,False,0.353,0.1871,0.2102,False,False
21,9,28.08,11.62,2.4,#543b3e,11.7,,,,,,False,,,2,,,False,0.3328,0.2343,0.2469,False,False
22,19,22.32,19.98,-5.45,#4d293d,344.7,68.42105263157895,17.11206339155522,13.0,1.4923065878303141,0.13561879050811498,True,34.70279720279719,-7.587047267336452,13,-1.5747361179395887,0.14130010529461876,True,0.3059,0.1638,0.2426,False,False
23,63,18.1,14.23,-1.76,#3e242f,353.0,42.857142857142854,-8.451846382880873,27.0,-1.3421490395554496,0.17954767600434107,True,43.867221364297386,1.5773768941637414,27,0.7384032855290601,0.4668829117916098,True,0.2456,0.143,0.1847,False,False
24,115,22.35,29.52,10.09,#5f1f27,18.9,53.04347826086957,1.734489020845842,61.0,0.37213399957870913,0.7097930832569143,True,36.13881018799052,-6.151034282143122,61,-3.1161949817082575,0.002810195662916738,True,0.373,0.1248,0.1563,False,True
25,84,17.5,25.46,6.91,#4d1922,15.2,71.42857142857143,20.119582188547703,60.0,3.6892448192926732,0.00022492070153829074,True,33.26853032025446,-9.021314149879181,60,-4.998303272036415,5.482225736083952e-06,True,0.3031,0.0986,0.1337,True,True
26,6,12.01,13.08,6.83,#321816,27.6,,,,,,False,,,0,,,False,0.1982,0.0943,0.089,False,False
27,12,12.07,20.82,3.53,#3a121b,9.6,,,,,,False,,,3,,,False,0.2276,0.0708,0.108,False,False
28,15,39.49,2.85,-9.75,#595c6c,286.3,13.333333333333334,-37.9756559066904,2.0,-2.9425902285129752,0.003254789224282426,True,,,2,,,False,0.3518,0.3615,0.4265,True,False
29,35,40.26,0.4,-0.59,#5f5e5f,304.0,31.428571428571427,-19.8804178114523,11.0,-2.3530892775917858,0.01861816336935124,True,35.407925407925404,-6.88191906220824,11,-1.5259717613686112,0.15800225634105766,True,0.3729,0.3714,0.3757,True,False
30,29,34.34,2.84,3.1,#574f4b,47.5,20.689655172413794,-30.619334067609937,6.0,-3.2989339120801797,0.0009705275721827026,True,,,6,,,False,0.3429,0.3101,0.2978,True,False
