cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
1,67.64,4.27,-18.3,0.6086,0.642,0.7745,#9ba3c5,283.1,27
2,77.5,-1.94,-25.74,0.6191,0.7635,0.9359,#9dc2ee,265.7,119
3,72.92,-1.87,-28.47,0.5537,0.7153,0.9043,#8db6e6,266.2,97
4,92.55,-12.15,-3.31,0.8,0.9447,0.9391,#ccf0ef,195.3,4
5,86.44,-4.18,-1.38,0.8096,0.8583,0.8577,#cedada,198.3,7
6,74.31,-5.13,-13.22,0.6216,0.7319,0.8102,#9ebace,248.8,18
7,78.08,-8.32,-8.28,0.6559,0.7779,0.8156,#a7c6cf,224.9,135
8,81.38,-6.12,-8.85,0.7081,0.8093,0.8563,#b4ceda,235.4,19
9,78.32,-10.36,-2.19,0.6669,0.7831,0.774,#aac7c5,191.9,12
10,75.95,-13.96,-12.62,0.558,0.7678,0.8229,#8ec3d1,222.1,11
11,85.0,-14.43,-12.69,0.6502,0.868,0.9237,#a5ddeb,221.3,17
12,69.9,-20.89,-7.57,0.4498,0.7144,0.7206,#72b6b7,199.9,16
13,55.42,-25.89,-17.06,0.0749,0.5733,0.6329,#1392a1,213.4,21
14,54.04,-28.58,-2.66,0.2124,0.5593,0.5212,#368e84,185.3,6
15,58.16,-24.74,-9.11,0.2625,0.5975,0.6073,#42989a,200.2,24
16,59.83,-5.9,2.51,0.5292,0.5769,0.5471,#86938b,156.9,62
17,60.9,-8.92,4.12,0.5221,0.5937,0.5467,#85978b,155.2,41
18,68.4,-3.85,9.39,0.6544,0.66,0.5874,#a6a895,112.3,27
19,70.3,-5.49,-0.6,0.6292,0.6861,0.6774,#a0aeac,186.2,23
20,65.04,-5.48,1.61,0.5826,0.6303,0.6069,#94a09a,163.6,124
21,70.3,-15.38,3.77,0.5633,0.7052,0.6453,#8fb3a4,166.2,5
22,58.48,-30.37,15.0,0.3479,0.6045,0.4446,#589a71,153.7,2
23,61.78,-35.57,-2.45,0.1793,0.6512,0.598,#2da698,183.9,12
24,66.19,-31.08,5.0,0.3681,0.6893,0.592,#5daf96,170.9,1
25,41.4,-2.75,-24.81,0.2373,0.396,0.5414,#3c648a,263.7,14
26,40.52,6.57,-45.73,0.0926,0.3783,0.6691,#1760aa,278.2,117
27,48.15,-3.86,-18.23,0.3394,0.4613,0.5673,#567590,258.0,22
28,44.13,-7.26,-17.05,0.2727,0.4281,0.5184,#456d84,246.9,18
29,44.16,-3.93,-31.52,0.1833,0.4275,0.6135,#2e6d9c,262.9,75
30,46.36,1.77,-41.96,0.1624,0.4422,0.7064,#2970b4,272.4,87
31,42.32,12.17,-23.1,0.3921,0.3722,0.5409,#635e89,297.8,10
32,42.29,4.22,-7.77,0.3954,0.3846,0.4414,#646270,298.5,39
33,51.22,7.36,-31.55,0.3952,0.473,0.6891,#6478af,283.1,18
34,55.13,13.31,-26.49,0.514,0.4956,0.6972,#837eb1,296.7,25
35,47.83,4.22,-16.8,0.4134,0.441,0.5554,#69708d,284.1,4
36,47.91,16.62,-35.96,0.417,0.4205,0.684,#6a6bae,294.8,34
37,68.78,-16.87,-22.79,0.3751,0.6997,0.8165,#5fb2d0,233.5,71
38,56.93,-16.11,-29.82,0.1341,0.5766,0.7367,#2293bb,241.6,73
39,61.67,-11.8,-27.71,0.3176,0.6169,0.7738,#509dc5,246.9,36
40,55.04,-4.34,-16.06,0.4158,0.5304,0.6241,#6a879f,254.9,54
41,60.85,4.42,-41.58,0.3914,0.5808,0.8627,#6394db,276.1,11
42,59.53,-5.22,-21.16,0.4239,0.5796,0.7061,#6c93b4,256.1,72
43,51.66,-1.95,-44.49,0.1001,0.5029,0.7808,#1980c7,267.5,46
44,54.81,-2.42,-31.79,0.3268,0.5298,0.7283,#5387b9,265.7,15
