cluster_id,n_products,lab_l,lab_a,lab_b,hex_color,hue_angle,freq_pct,freq_deviation_pp,n_discounted,freq_z,freq_pval,freq_testable,depth_pct,depth_deviation_pp,n_discounted_depth,depth_t,depth_pval,depth_testable,r,g,b,freq_significant,depth_significant
1,27,67.64,4.27,-18.3,#9ba3c5,283.1,25.925925925925924,-13.27665256279319,7.0,-1.4130924484878638,0.15762854331177645,True,,,7,,,False,0.6086,0.642,0.7745,False,False
2,119,77.5,-1.94,-25.74,#9dc2ee,265.7,34.45378151260504,-4.748796976114073,41.0,-1.0611021305613242,0.2886434897316291,True,19.268662232076867,-2.58246359494494,41,-1.5514745451148488,0.12866502732569662,True,0.6191,0.7635,0.9359,False,False
3,97,72.92,-1.87,-28.47,#8db6e6,266.2,17.525773195876287,-21.676805292842825,17.0,-4.373017818394393,1.2254071812314577e-05,True,26.431966726084372,4.580840899062565,17,1.453927928048528,0.1653007357080928,True,0.5537,0.7153,0.9043,True,False
4,4,92.55,-12.15,-3.31,#ccf0ef,195.3,,,,,,False,,,4,,,False,0.8,0.9447,0.9391,False,False
5,7,86.44,-4.18,-1.38,#cedada,198.3,,,,,,False,,,1,,,False,0.8096,0.8583,0.8577,False,False
6,18,74.31,-5.13,-13.22,#9ebace,248.8,50.0,10.797421511280886,9.0,0.9383317495513249,0.34807394828310834,True,,,9,,,False,0.6216,0.7319,0.8102,False,False
7,135,78.08,-8.32,-8.28,#a7c6cf,224.9,48.148148148148145,8.945569659429031,65.0,2.1289967050648024,0.03325453300975077,True,22.6025752025752,0.751449375553392,65,1.216648407066317,0.22820585431220874,True,0.6559,0.7779,0.8156,False,False
8,19,81.38,-6.12,-8.85,#b4ceda,235.4,57.89473684210527,18.69215835338615,11.0,1.668923212516581,0.09513259864797466,True,24.62914862914863,2.7780228021268236,11,20.12560761738089,2.0186297099159227e-09,True,0.7081,0.8093,0.8563,False,True
9,12,78.32,-10.36,-2.19,#aac7c5,191.9,,,,,,False,,,8,,,False,0.6669,0.7831,0.774,False,False
10,11,75.95,-13.96,-12.62,#8ec3d1,222.1,,,,,,False,,,6,,,False,0.558,0.7678,0.8229,False,False
11,17,85.0,-14.43,-12.69,#a5ddeb,221.3,58.82352941176471,19.620950923045594,10.0,1.6570843484334126,0.09750242304219696,True,24.0,2.148874172978193,10,inf,0.0,True,0.6502,0.868,0.9237,False,True
12,16,69.9,-20.89,-7.57,#72b6b7,199.9,37.5,-1.7025784887191142,6.0,-0.13949776080503845,0.8890568252593324,True,,,6,,,False,0.4498,0.7144,0.7206,False,False
13,21,55.42,-25.89,-17.06,#1392a1,213.4,47.61904761904761,8.416469130328503,10.0,0.7900229094899861,0.4295143891330214,True,27.924825174825173,6.073699347803366,10,2.6215436802688274,0.027740631933379268,True,0.0749,0.5733,0.6329,False,False
14,6,54.04,-28.58,-2.66,#368e84,185.3,,,,,,False,,,3,,,False,0.2124,0.5593,0.5212,False,False
15,24,58.16,-24.74,-9.11,#42989a,200.2,100.0,60.79742151128089,24.0,6.100857550392625,1.0550090051758655e-09,True,24.35185185185185,2.500726024830044,24,16.970937045990077,1.6771990054529832e-14,True,0.2625,0.5975,0.6073,True,True
16,62,59.83,-5.9,2.51,#86938b,156.9,51.61290322580645,12.410324737087336,32.0,2.0016083016042048,0.04532687546544482,True,22.420093795093795,0.5689679680719877,32,0.7708454980740511,0.44663419268759635,True,0.5292,0.5769,0.5471,False,False
17,41,60.9,-8.92,4.12,#85978b,155.2,39.02439024390244,-0.17818824481667384,16.0,-0.02337066560724882,0.9813546040670246,True,21.235119047619047,-0.6160067794027597,16,-0.5041581967408828,0.621474439349959,True,0.5221,0.5937,0.5467,False,False
18,27,68.4,-3.85,9.39,#a6a895,112.3,51.85185185185185,12.649273363132735,14.0,1.34631772457417,0.17820007202995425,True,23.24263038548753,1.3915045584657229,14,0.9530189220912895,0.3579654602974189,True,0.6544,0.66,0.5874,False,False
19,23,70.3,-5.49,-0.6,#a0aeac,186.2,17.391304347826086,-21.811274140893026,4.0,-2.1426195215198787,0.03214366232683512,True,,,4,,,False,0.6292,0.6861,0.6774,False,False
20,124,65.04,-5.48,1.61,#94a09a,163.6,37.096774193548384,-2.105804295170727,46.0,-0.4803181002907164,0.6310012203022919,True,20.363081617086195,-1.4880442099356124,46,-1.5564196222117141,0.126614126266777,True,0.5826,0.6303,0.6069,False,False
21,5,70.3,-15.38,3.77,#8fb3a4,166.2,,,,,,False,,,2,,,False,0.5633,0.7052,0.6453,False,False
22,2,58.48,-30.37,15.0,#589a71,153.7,,,,,,False,,,1,,,False,0.3479,0.6045,0.4446,False,False
23,12,61.78,-35.57,-2.45,#2da698,183.9,,,,,,False,,,6,,,False,0.1793,0.6512,0.598,False,False
24,1,66.19,-31.08,5.0,#5daf96,170.9,,,,,,False,,,0,,,False,0.3681,0.6893,0.592,False,False
25,14,41.4,-2.75,-24.81,#3c648a,263.7,78.57142857142857,39.36885008270946,11.0,3.017288591780998,0.0025504687244325714,True,20.88888888888889,-0.9622369381329179,11,-0.4537782990912131,0.6596771763255797,True,0.2373,0.396,0.5414,True,False
26,117,40.52,6.57,-45.73,#1760aa,278.2,69.23076923076923,30.028190742050114,81.0,6.6530716392685685,2.8703838766131398e-11,True,11.998367887256776,-9.85275793976503,81,-15.605395084909132,5.446300111073386e-26,True,0.0926,0.3783,0.6691,True,True
27,22,48.15,-3.86,-18.23,#567590,258.0,31.818181818181817,-7.3843966705372965,7.0,-0.7094576260478112,0.4780405381752948,True,,,7,,,False,0.3394,0.4613,0.5673,False,False
28,18,44.13,-7.26,-17.05,#456d84,246.9,11.11111111111111,-28.091467377608005,2.0,-2.441241707972178,0.0146368545607306,True,,,2,,,False,0.2727,0.4281,0.5184,True,False
