cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
1,88.26,0.33,6.52,0.8924,0.8657,0.8201,#e3dcd1,87.1,392
2,87.38,0.37,12.07,0.8993,0.8544,0.7694,#e5d9c4,88.3,21
3,79.65,2.14,16.77,0.8386,0.7647,0.6527,#d5c2a6,82.7,44
4,82.94,-1.1,13.01,0.8418,0.8089,0.7144,#d6ceb6,94.8,68
5,86.91,-6.37,11.26,0.8404,0.865,0.7693,#d6dcc4,119.5,22
6,89.16,-12.12,23.86,0.8573,0.8999,0.6986,#dae5b2,116.9,165
7,80.37,-11.83,17.83,0.7462,0.8035,0.6502,#becca5,123.6,6
8,82.89,-36.22,29.25,0.5998,0.8761,0.5875,#98df95,141.1,25
9,73.35,-23.37,14.12,0.5639,0.7509,0.6021,#8fbf99,148.9,3
10,75.46,-48.41,22.76,0.3473,0.8144,0.5573,#58cf8e,154.8,9
11,74.28,-23.74,49.67,0.6627,0.7557,0.3419,#a8c057,115.5,40
12,71.46,-9.34,39.38,0.7164,0.6983,0.3995,#b6b265,103.3,29
13,82.79,-45.47,72.91,0.621,0.8853,0.1908,#9ee130,121.9,9
14,89.92,-26.65,45.01,0.804,0.9345,0.5402,#cdee89,120.6,42
15,90.85,-34.97,65.78,0.789,0.9582,0.3691,#c9f45e,118.0,33
16,81.2,-22.43,41.05,0.7318,0.8299,0.4821,#bad37a,118.7,25
17,85.43,-11.25,35.89,0.8513,0.8542,0.5682,#d9d990,107.4,37
18,79.84,-10.49,41.72,0.8056,0.7904,0.4657,#cdc976,104.1,41
19,73.99,23.82,5.12,0.8925,0.6505,0.6801,#e3a5ad,12.1,41
20,74.39,24.18,12.3,0.9151,0.6517,0.6334,#e9a6a1,27.0,12
21,60.13,24.03,18.19,0.7635,0.5028,0.4478,#c28072,37.1,22
22,65.09,21.74,18.49,0.8063,0.56,0.4944,#cd8e7e,40.4,117
23,62.87,26.91,6.01,0.7885,0.5253,0.5589,#c9858e,12.6,13
24,64.97,13.87,4.8,0.7277,0.5836,0.5867,#b99495,19.1,47
25,78.24,22.72,21.01,0.9677,0.6946,0.6108,#f6b19b,42.8,16
26,79.55,17.25,25.15,0.9561,0.7231,0.5932,#f3b897,55.6,9
27,63.49,47.02,51.86,0.9645,0.4507,0.2437,#f5723e,47.8,19
28,70.26,35.5,25.49,0.9575,0.5694,0.4999,#f4917f,35.7,44
29,62.74,42.39,30.48,0.912,0.4652,0.3925,#e87664,35.7,14
