cluster_id,n_products,lab_l,lab_a,lab_b,hex_color,hue_angle,freq_pct,freq_deviation_pp,n_discounted,freq_z,freq_pval,freq_testable,depth_pct,depth_deviation_pp,n_discounted_depth,depth_t,depth_pval,depth_testable,r,g,b,freq_significant,depth_significant
1,392,88.26,0.33,6.52,#e3dcd1,87.1,69.89795918367348,22.246446627573572,274.0,8.81887671580951,1.1561364663849432e-18,True,23.479727617311195,2.7535429760542556,274,9.613309907853303,4.933764230206739e-19,True,0.8924,0.8657,0.8201,True,True
2,21,87.38,0.37,12.07,#e5d9c4,88.3,71.42857142857143,23.777058872471528,15.0,2.1816112592830277,0.029138235203781577,True,23.85641025641025,3.1302256151533108,15,20.337142961656973,8.571919499902498e-12,True,0.8993,0.8544,0.7694,True,True
3,44,79.65,2.14,16.77,#d5c2a6,82.7,84.0909090909091,36.43939653480919,37.0,4.839573613675909,1.3011798914392492e-06,True,24.57140740159608,3.8452227603391407,37,98.16059566168822,2.489397642710612e-45,True,0.8386,0.7647,0.6527,True,True
4,68,82.94,-1.1,13.01,#d6ceb6,94.8,66.17647058823529,18.52495803213539,45.0,3.0585900753660877,0.002223812141117636,True,19.832570008060205,-0.8936146331967336,45,-0.8687214883869638,0.38971347738326,True,0.8418,0.8089,0.7144,True,False
5,22,86.91,-6.37,11.26,#d6dcc4,119.5,81.81818181818183,34.166669262081925,18.0,3.2086590369215635,0.0013335553390452517,True,14.43915343915344,-6.287031202103499,18,-2.6525896910953217,0.016750234386654416,True,0.8404,0.865,0.7693,True,True
6,165,89.16,-12.12,23.86,#dae5b2,116.9,81.21212121212122,33.560608656021316,134.0,8.631402846675146,6.0604027102439445e-18,True,26.739038324859216,6.012853683602277,134,4.097310895123027,7.224285398100264e-05,True,0.8573,0.8999,0.6986,True,True
7,6,80.37,-11.83,17.83,#becca5,123.6,,,,,,False,,,0,,,False,0.7462,0.8035,0.6502,False,False
8,25,82.89,-36.22,29.25,#98df95,141.1,96.0,48.3484874439001,24.0,4.840190803533231,1.2971452756702555e-06,True,19.73611111111111,-0.9900735301458283,24,-0.9074424948478657,0.37358283455346863,True,0.5998,0.8761,0.5875,True,False
9,3,73.35,-23.37,14.12,#8fbf99,148.9,,,,,,False,,,3,,,False,0.5639,0.7509,0.6021,False,False
10,9,75.46,-48.41,22.76,#58cf8e,154.8,,,,,,False,,,5,,,False,0.3473,0.8144,0.5573,False,False
11,40,74.28,-23.74,49.67,#a8c057,115.5,72.5,24.848487443900098,29.0,3.1465855171020323,0.0016518894711370718,True,9.871249440214957,-10.854935201041982,29,-15.048991867332699,6.015511823385721e-15,True,0.6627,0.7557,0.3419,True,True
12,29,71.46,-9.34,39.38,#b6b265,103.3,86.20689655172413,38.55538399562423,25.0,4.157130113825109,3.222704633158302e-05,True,10.656666666666668,-10.069517974590271,25,-10.650242325802413,1.416327688731223e-10,True,0.7164,0.6983,0.3995,True,True
13,9,82.79,-45.47,72.91,#9ee130,121.9,,,,,,False,,,3,,,False,0.621,0.8853,0.1908,False,False
14,42,89.92,-26.65,45.01,#cdee89,120.6,71.42857142857143,23.777058872471528,30.0,3.085264230703904,0.002033713911381987,True,19.627777777777773,-1.0984068634791662,30,-0.5291374030705971,0.6007373771258684,True,0.804,0.9345,0.5402,True,False
15,33,90.85,-34.97,65.78,#c9f45e,118.0,90.9090909090909,43.257578352991004,30.0,4.975408673170893,6.511012657235643e-07,True,12.505050505050503,-8.221134136206436,30,-5.8374802424812335,2.489929783408428e-06,True,0.789,0.9582,0.3691,True,True
16,25,81.2,-22.43,41.05,#bad37a,118.7,72.0,24.348487443900098,18.0,2.43753902627575,0.014787617914315638,True,17.36111111111111,-3.3650735301458283,18,-1.7637640624494888,0.09573370577806206,True,0.7318,0.8299,0.4821,True,False
17,37,85.43,-11.25,35.89,#d9d990,107.4,78.37837837837837,30.726865822278477,29.0,3.742214798456757,0.00018240549597095467,True,23.373040752351095,2.6468561110941558,29,2.0252965990195526,0.05246495300018708,True,0.8513,0.8542,0.5682,True,False
18,41,79.84,-10.49,41.72,#cdc976,104.1,82.92682926829268,35.275316712192776,34.0,4.522436065600822,6.113195483219127e-06,True,14.967914438502671,-5.758270202754268,34,-4.954602658046208,2.1085388960797255e-05,True,0.8056,0.7904,0.4657,True,True
19,41,73.99,23.82,5.12,#e3a5ad,12.1,78.04878048780488,30.39726793170498,32.0,3.897050787996413,9.737120514955125e-05,True,21.105113636363633,0.3789289951066941,32,0.3521492267296165,0.7271091432954091,True,0.8925,0.6505,0.6801,True,False
20,12,74.39,24.18,12.3,#e9a6a1,27.0,,,,,,False,,,2,,,False,0.9151,0.6517,0.6334,False,False
21,22,60.13,24.03,18.19,#c28072,37.1,77.27272727272727,29.62121471662737,17.0,2.7817864702012502,0.005406059596348759,True,19.178253119429588,-1.5479315218273513,17,-0.5330265476568156,0.6013411072504286,True,0.7635,0.5028,0.4478,True,False
22,117,65.09,21.74,18.49,#cd8e7e,40.4,49.572649572649574,1.9211370165496733,58.0,0.41606468670636704,0.67736266949718,True,17.606636658360795,-3.119547982896144,58,-5.349821033545429,1.6232262164498617e-06,True,0.8063,0.56,0.4944,False,True
23,13,62.87,26.91,6.01,#c9858e,12.6,,,,,,False,,,5,,,False,0.7885,0.5253,0.5589,False,False
24,47,64.97,13.87,4.8,#b99495,19.1,31.914893617021278,-15.736618939078623,15.0,-2.160080534845512,0.03076643560872816,True,16.387445887445885,-4.338738753811054,15,-5.178791761008678,0.0001399114229035193,True,0.7277,0.5836,0.5867,False,True
25,16,78.24,22.72,21.01,#f6b19b,42.8,75.0,27.348487443900098,12.0,2.1902963987463484,0.0285027478518271,True,32.73809523809524,12.011910596838302,12,3.6282692104188072,0.003968641818176342,True,0.9677,0.6946,0.6108,True,True
26,9,79.55,17.25,25.15,#f3b897,55.6,,,,,,False,,,6,,,False,0.9561,0.7231,0.5932,False,False
27,19,63.49,47.02,51.86,#f5723e,47.8,42.10526315789473,-5.546249398205166,8.0,-0.4840450474228497,0.6283538995190567,True,,,8,,,False,0.9645,0.4507,0.2437,False,False
28,44,70.26,35.5,25.49,#f4917f,35.7,72.72727272727273,25.075760171172828,32.0,3.330351180523708,0.0008673651473108022,True,28.65327380952381,7.927089168266871,32,5.138030424887833,1.4458522822821665e-05,True,0.9575,0.5694,0.4999,True,True
29,14,62.74,42.39,30.48,#e87664,35.7,50.0,2.3484874439000993,7.0,0.17593888943570316,0.8603419525165419,True,,,7,,,False,0.912,0.4652,0.3925,False,False
30,8,55.55,10.05,53.27,#ab7c21,79.3,,,,,,False,,,4,,,False,0.6738,0.4892,0.1301,False,False
31,9,61.34,-0.4,62.34,#af9113,90.4,,,,,,False,,,7,,,False,0.687,0.5712,0.0758,False,False
32,9,75.1,21.97,52.64,#f7a756,67.3,,,,,,False,,,6,,,False,0.9708,0.6575,0.3411,False,False
33,37,77.13,14.19,72.46,#f6b22a,78.9,37.83783783783784,-9.81367471826206,14.0,-1.1952041894000756,0.23200726213889555,True,15.72047000618429,-5.00571463507265,14,-3.6909669089528565,0.002716433115305277,True,0.9672,0.6984,0.165,False,True
34,24,67.6,18.2,68.34,#de9618,75.1,37.5,-10.1515125560999,9.0,-0.9957400212279246,0.319376479293609,True,,,9,,,False,0.8713,0.5883,0.095,False,False
35,20,50.53,21.41,33.82,#a8693f,57.7,30.0,-17.651512556099902,6.0,-1.5805437059213967,0.11398240607262508,True,,,6,,,False,0.6617,0.4118,0.248,False,False
36,17,54.78,15.71,39.92,#ae773d,68.5,58.82352941176471,11.172016855664808,10.0,0.9222860267020032,0.356379400688279,True,24.444444444444446,3.7182598031875074,10,3139791274519115.5,1.7169744293342368e-136,True,0.6848,0.4685,0.2409,False,True
37,9,48.14,1.07,34.75,#857036,88.2,,,,,,False,,,3,,,False,0.5244,0.4393,0.213,False,False
38,8,51.19,8.1,25.95,#95734d,72.7,,,,,,False,,,3,,,False,0.5857,0.4544,0.3055,False,False
39,45,49.87,1.28,17.44,#837459,85.8,55.55555555555556,7.904042999455657,25.0,1.0616103329177224,0.2884126208745541,True,13.860317460317457,-6.865867180939482,25,-66.03490525809634,1.168897983875762e-28,True,0.5167,0.4584,0.3496,False,True
40,145,46.45,3.3,14.77,#7c6b55,77.4,60.0,12.348487443900098,87.0,2.9771954833044103,0.0029089846493816312,True,18.39040958369452,-2.3357750575624188,87,-3.8227409902861167,0.00024903218579692575,True,0.4893,0.4212,0.3355,True,True
41,105,65.71,2.35,11.64,#ac9d8a,78.6,50.476190476190474,2.824677920090574,53.0,0.5795263276273553,0.5622340873150974,True,10.664610546686019,-10.06157409457092,53,-10.209157407181502,5.061128396016449e-14,True,0.676,0.6176,0.5451,False,True
42,8,71.39,-2.24,9.07,#b1af9e,103.9,,,,,,False,,,4,,,False,0.6969,0.6881,0.6208,False,False
43,109,73.9,1.52,11.33,#c1b3a1,82.4,52.293577981651374,4.642065425551473,57.0,0.9703626949319923,0.33186573671610076,True,22.37333672345114,1.6471520821942,57,2.0505570809042686,0.045001354743519184,True,0.7572,0.7057,0.6315,False,False
44,38,76.11,7.29,26.93,#dab58a,74.8,81.57894736842105,33.92743481232115,31.0,4.1874767514983375,2.8207290420753313e-05,True,27.859237536656885,7.1330528953999455,31,8.448238011631496,1.988006115400132e-09,True,0.8562,0.712,0.5429,True,True
45,166,66.95,5.88,28.69,#be9d6f,78.4,69.87951807228916,22.22800551618926,116.0,5.734084990554198,9.804016382759243e-09,True,28.711289425391328,7.985104784134389,116,7.902958275816265,1.811842166585201e-12,True,0.7479,0.6186,0.4375,True,True
46,41,60.42,5.09,25.0,#a98d65,78.5,73.17073170731707,25.51921915121717,30.0,3.271665510392003,0.001069159872370842,True,23.837501578880882,3.1113169376239433,30,2.026073501743668,0.05204382265121741,True,0.6652,0.554,0.3996,True,False
47,56,56.87,2.55,16.79,#97856b,81.4,66.07142857142857,18.41991601532867,37.0,2.7598866458948854,0.005782142030051888,True,17.27952386775916,-3.446660773497779,37,-3.490906472986796,0.0012913228426494861,True,0.5958,0.5254,0.4214,True,True
48,44,52.31,3.15,8.95,#887a6d,70.6,79.54545454545455,31.89394198935464,35.0,4.235884640415027,2.276536385897475e-05,True,21.23585434173669,0.5096697004797512,35,0.31253977988577514,0.7565392732126338,True,0.5352,0.4802,0.4301,True,False
49,45,58.7,3.12,5.33,#968b84,59.7,66.66666666666666,19.015154110566762,30.0,2.5539694163089464,0.010650261089016901,True,23.904012918298637,3.177828277041698,30,1.7060328887008567,0.09869149462458822,True,0.5913,0.5453,0.5177,True,False
50,59,60.44,-0.51,2.41,#92918d,102.0,40.67796610169492,-6.973546454404983,24.0,-1.072480217159948,0.2835043948802237,True,17.708580405948826,-3.017604235308113,24,-1.841664386155161,0.07845745131727214,True,0.5753,0.5719,0.5548,False,False
51,10,62.73,-1.42,9.65,#9c9786,98.4,,,,,,False,,,6,,,False,0.6133,0.5956,0.5281,False,False
52,67,88.34,8.13,-7.03,#e7d9eb,319.1,49.25373134328358,1.602218787183679,33.0,0.26258433091740535,0.7928709784848632,True,28.071272162181256,7.3450875209243165,33,5.054512711025419,1.6959257210009854e-05,True,0.9079,0.8514,0.9221,False,True
53,59,82.93,10.41,-9.55,#dac8e0,317.5,62.71186440677966,15.06035185067976,37.0,2.3161714816023853,0.02054890763564093,True,24.62676962676963,3.9005849855126904,37,3.2689123611465787,0.002379625247382002,True,0.8565,0.7873,0.8805,True,True
54,36,80.21,11.67,-0.38,#dcbfc8,358.1,61.111111111111114,13.459598555011215,22.0,1.6169364194684954,0.10589200596279866,True,19.514233241505966,-1.2119513997509728,22,-1.0569659032415875,0.3025352277144066,True,0.8655,0.7517,0.7843,False,False
